file,estradiol,media,strain,URA3
live (cm2016-01-08.032),0.000195313,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-08.031,0.000195313,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-08.030,0.000390625,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-08.029,0.000390625,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-08.028,0.00078125,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-08.027,0.00078125,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-08.026,0.0015625,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-08.025,0.0015625,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-08.024,0,SC+5FOA,CMY138,ura3
cm2016-01-08.023,0.003125,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-08.022,0,SC-ura,CMY138,ura3
cm2016-01-08.021,0.003125,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-08.020,0,SC+5FOA,PMY1639,URA3
cm2016-01-08.019,0.00625,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-08.018,0,SC-ura,PMY1639,URA3
cm2016-01-08.017,0.00625,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-08.016,0,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-08.015,0.0125,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-08.014,0,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-08.013,0.0125,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-08.012,2.44E-05,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-08.011,0.025,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-08.010,2.44E-05,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-08.009,0.025,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-08.008,4.88E-05,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-08.007,0.05,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-08.006,4.88E-05,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-08.005,0.05,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-08.004,9.77E-05,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-08.003,0.1,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-08.002,9.77E-05,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-08.001,0.1,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
