file,estradiol,media,strain,URA3
live (cm2016-01-09.032),0.000195313,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-09.031,0.000195313,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-09.030,0.000390625,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-09.029,0.000390625,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-09.028,0.00078125,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-09.027,0.00078125,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-09.026,0.0015625,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-09.025,0.0015625,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-09.024,0,SC+5FOA,CMY138,ura3
cm2016-01-09.023,0.003125,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-09.022,0,SC-ura,CMY138,ura3
cm2016-01-09.021,0.003125,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-09.020,0,SC+5FOA,PMY1639,URA3
cm2016-01-09.019,0.00625,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-09.018,0,SC-ura,PMY1639,URA3
cm2016-01-09.017,0.00625,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-09.016,0,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-09.015,0.0125,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-09.014,0,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-09.013,0.0125,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-09.012,2.44E-05,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-09.011,0.025,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-09.010,2.44E-05,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-09.009,0.025,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-09.008,4.88E-05,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-09.007,0.05,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-09.006,4.88E-05,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-09.005,0.05,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-09.004,9.77E-05,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-09.003,0.1,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-09.002,9.77E-05,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-09.001,0.1,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
