file,estradiol,media,strain,URA3
cm2016-01-06.002,9.76563E-05,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-06.003,0.1,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-06.004,9.76563E-05,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-06.005,0.05,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-06.006,4.88281E-05,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-06.007,0.05,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-06.008,4.88281E-05,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-06.009,0.025,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-06.010,2.44141E-05,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-06.011,0.025,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-06.012,2.44141E-05,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-06.013,0.0125,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-06.014,0,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-06.015,0.0125,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-06.016,0,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-06.017,0.00625,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-06.018,0,SC-ura,PMY1639,URA3
cm2016-01-06.019,0.00625,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-06.020,0,SC+5FOA,PMY1639,URA3
cm2016-01-06.021,0.003125,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-06.022,0,SC-ura,CMY138,ura3
cm2016-01-06.023,0.003125,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-06.024,0,SC+5FOA,CMY138,ura3
cm2016-01-06.025,0.0015625,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-06.026,0.0015625,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-06.027,0.00078125,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-06.028,0.00078125,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-06.029,0.000390625,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-06.030,0.000390625,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-06.031,0.000195313,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-06.032,0.000195313,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
