file,estradiol,media,strain,URA3
live (cm2016-01-07.032),0.000195313,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-07.031,0.000195313,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-07.030,0.000390625,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-07.029,0.000390625,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-07.028,0.00078125,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-07.027,0.00078125,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-07.026,0.0015625,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-07.025,0.0015625,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-07.024,0,SC+5FOA,CMY138,ura3
cm2016-01-07.023,0.003125,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-07.022,0,SC-ura,CMY138,ura3
cm2016-01-07.021,0.003125,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-07.020,0,SC+5FOA,PMY1639,URA3
cm2016-01-07.019,0.00625,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-07.018,0,SC-ura,PMY1639,URA3
cm2016-01-07.017,0.00625,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-07.016,0,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-07.015,0.0125,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-07.014,0,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-07.013,0.0125,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-07.012,2.44E-05,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-07.011,0.025,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-07.010,2.44E-05,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-07.009,0.025,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-07.008,4.88E-05,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-07.007,0.05,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-07.006,4.88E-05,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-07.005,0.05,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-07.004,9.77E-05,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-07.003,0.1,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-07.002,9.77E-05,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-07.001,0.1,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
