Name,Path,Descr.,%-T,%-#,Count/mL
P2,P1\P2,,93.18,97,6.16E+05
LL3,P1\P2\LL3,,0.02,0.02,131
UL3,P1\P2\UL3,,93.1,99.92,6.16E+05
UR3,P1\P2\UR3,,0,0,0
LR3,P1\P2\LR3,,0.06,0.06,392
LL4,P1\P2\LL4,,0.08,0.08,523
UL4,P1\P2\UL4,,93.1,99.92,6.16E+05
UR4,P1\P2\UR4,,0,0,0
LR4,P1\P2\LR4,,0,0,0
LL5,P1\P2\LL5,,0.08,0.08,523
UL5,P1\P2\UL5,,0,0,0
UR5,P1\P2\UR5,,0.01,0.01,43.6
LR5,P1\P2\LR5,,93.1,99.91,6.16E+05
cm2015-08-16.022,cm2015-08-16.022,,100,---,1.09E+06
P1,P1,,99.82,99.82,1.09E+06
P2,P1\P2,,94.34,94.51,1.03E+06
LL3,P1\P2\LL3,,0.17,0.18,1.86E+03
UL3,P1\P2\UL3,,0.05,0.05,547
UR3,P1\P2\UR3,,0,0,0
LR3,P1\P2\LR3,,94.12,99.77,1.03E+06
LL4,P1\P2\LL4,,94.3,99.96,1.03E+06
UL4,P1\P2\UL4,,0.04,0.04,438
UR4,P1\P2\UR4,,0,0,0
LR4,P1\P2\LR4,,0,0,0
LL5,P1\P2\LL5,,94.03,99.68,1.03E+06
UL5,P1\P2\UL5,,0,0,0
UR5,P1\P2\UR5,,0,0,0
LR5,P1\P2\LR5,,0.3,0.32,3.34E+03
cm2015-08-16.021,cm2015-08-16.021,,100,---,9.86E+05
P1,P1,,99.74,99.74,9.83E+05
P2,P1\P2,,95.53,95.77,9.42E+05
LL3,P1\P2\LL3,,0.14,0.15,1.43E+03
UL3,P1\P2\UL3,,32.88,34.43,3.24E+05
UR3,P1\P2\UR3,,0.36,0.37,3.50E+03
LR3,P1\P2\LR3,,62.14,65.05,6.12E+05
LL4,P1\P2\LL4,,62.31,65.23,6.14E+05
UL4,P1\P2\UL4,,33.21,34.77,3.27E+05
UR4,P1\P2\UR4,,0,0,0
LR4,P1\P2\LR4,,0,0,0
LL5,P1\P2\LL5,,62.04,64.95,6.12E+05
UL5,P1\P2\UL5,,0,0,0
UR5,P1\P2\UR5,,0,0,0
LR5,P1\P2\LR5,,33.48,35.05,3.30E+05
cm2015-08-16.020,cm2015-08-16.020,,100,---,2.56E+04
P1,P1,,2.32,2.32,592
P2,P1\P2,,2.32,100,592
LL3,P1\P2\LL3,,0.39,16.67,98.7
UL3,P1\P2\UL3,,0.77,33.33,197
UR3,P1\P2\UR3,,0,0,0
LR3,P1\P2\LR3,,1.16,50,296
LL4,P1\P2\LL4,,1.54,66.67,395
UL4,P1\P2\UL4,,0.77,33.33,197
UR4,P1\P2\UR4,,0,0,0
LR4,P1\P2\LR4,,0,0,0
LL5,P1\P2\LL5,,1.54,66.67,395
UL5,P1\P2\UL5,,0,0,0
UR5,P1\P2\UR5,,0,0,0
LR5,P1\P2\LR5,,0.77,33.33,197
cm2015-08-16.019,cm2015-08-16.019,,100,---,9.86E+05
P1,P1,,99.82,99.82,9.84E+05
P2,P1\P2,,95.45,95.62,9.41E+05
LL3,P1\P2\LL3,,0.08,0.09,838
UL3,P1\P2\UL3,,44,46.1,4.34E+05
UR3,P1\P2\UR3,,0.41,0.43,4.04E+03
LR3,P1\P2\LR3,,50.95,53.38,5.02E+05
LL4,P1\P2\LL4,,51.09,53.53,5.04E+05
UL4,P1\P2\UL4,,44.36,46.47,4.37E+05
UR4,P1\P2\UR4,,0,0,0
LR4,P1\P2\LR4,,0,0,0
LL5,P1\P2\LL5,,50.88,53.3,5.01E+05
UL5,P1\P2\UL5,,0,0,0
UR5,P1\P2\UR5,,0.01,0.01,49.3
LR5,P1\P2\LR5,,44.57,46.69,4.39E+05
cm2015-08-16.018,cm2015-08-16.018,,100,---,1.16E+06
