Path,%-T,%-#
P1\P2\LR5,13.24,16.77
cm2015-08-27.018,100,---
P1,99.8,99.8
P1\P2,95.53,95.72
P1\P2\LL3,0,0
P1\P2\UL3,95.46,99.93
P1\P2\UR3,0,0
P1\P2\LR3,0.07,0.07
P1\P2\LL4,0.07,0.07
P1\P2\UL4,95.46,99.93
P1\P2\UR4,0,0
P1\P2\LR4,0,0
P1\P2\LL5,0.07,0.07
P1\P2\UL5,0,0
P1\P2\UR5,0,0
P1\P2\LR5,95.46,99.93
cm2015-08-27.017,100,---
P1,72.19,72.19
P1\P2,71.01,98.36
P1\P2\LL3,11.24,15.83
P1\P2\UL3,26.63,37.5
P1\P2\UR3,0,0
P1\P2\LR3,33.14,46.67
P1\P2\LL4,44.38,62.5
P1\P2\UL4,26.63,37.5
P1\P2\UR4,0,0
P1\P2\LR4,0,0
P1\P2\LL5,43.79,61.67
P1\P2\UL5,0,0
P1\P2\UR5,0,0
P1\P2\LR5,27.22,38.33
cm2015-08-27.016,100,---
P1,99.92,99.92
P1\P2,97.41,97.48
P1\P2\LL3,0.02,0.02
P1\P2\UL3,96.73,99.31
P1\P2\UR3,0.01,0.02
P1\P2\LR3,0.64,0.66
P1\P2\LL4,0.68,0.69
P1\P2\UL4,96.73,99.31
P1\P2\UR4,0,0
P1\P2\LR4,0,0
P1\P2\LL5,0.66,0.67
P1\P2\UL5,0,0
P1\P2\UR5,0,0
P1\P2\LR5,96.75,99.33
cm2015-08-27.015,100,---
P1,95.96,95.96
P1\P2,95.96,100
P1\P2\LL3,5.05,5.26
P1\P2\UL3,8.08,8.42
P1\P2\UR3,0,0
P1\P2\LR3,82.83,86.32
P1\P2\LL4,88.89,92.63
P1\P2\UL4,7.07,7.37
P1\P2\UR4,0,0
P1\P2\LR4,0,0
P1\P2\LL5,85.86,89.47
P1\P2\UL5,0,0
P1\P2\UR5,0,0
P1\P2\LR5,10.1,10.53
cm2015-08-27.014,100,---
P1,99.89,99.89
P1\P2,93.09,93.2
P1\P2\LL3,0,0
P1\P2\UL3,93.09,100
P1\P2\UR3,0,0
P1\P2\LR3,0,0
P1\P2\LL4,0,0
P1\P2\UL4,93.09,100
P1\P2\UR4,0,0
P1\P2\LR4,0,0
P1\P2\LL5,0,0
P1\P2\UL5,0,0
P1\P2\UR5,0,0
P1\P2\LR5,93.09,100
cm2015-08-27.013,100,---
P1,68.09,68.09
P1\P2,68.09,100
P1\P2\LL3,0,0
P1\P2\UL3,68.09,100
P1\P2\UR3,0,0
P1\P2\LR3,0,0
P1\P2\LL4,0,0
P1\P2\UL4,68.09,100
P1\P2\UR4,0,0
P1\P2\LR4,0,0
P1\P2\LL5,0,0
P1\P2\UL5,0,0
P1\P2\UR5,0,0
P1\P2\LR5,68.09,100
cm2015-08-27.012,100,---
P1,99.91,99.91
P1\P2,92.28,92.37
P1\P2\LL3,0.38,0.41
P1\P2\UL3,19.61,21.25
P1\P2\UR3,0.48,0.53
P1\P2\LR3,71.81,77.82
P1\P2\LL4,72.26,78.31
P1\P2\UL4,20.02,21.69
P1\P2\UR4,0,0
P1\P2\LR4,0,0
P1\P2\LL5,72.1,78.14
P1\P2\UL5,0,0
P1\P2\UR5,0,0
P1\P2\LR5,20.18,21.86
cm2015-08-27.011,100,---
P1,99.91,99.91
P1\P2,92.88,92.96
P1\P2\LL3,0.24,0.26
P1\P2\UL3,0.06,0.06
P1\P2\UR3,0,0
P1\P2\LR3,92.58,99.68
P1\P2\LL4,92.82,99.94
P1\P2\UL4,0.06,0.06
P1\P2\UR4,0,0
P1\P2\LR4,0,0
P1\P2\LL5,92.8,99.91
P1\P2\UL5,0,0
P1\P2\UR5,0,0
P1\P2\LR5,0.08,0.09
cm2015-08-27.010,100,---
P1,99.91,99.91
P1\P2,93.35,93.43
P1\P2\LL3,0.26,0.28
P1\P2\UL3,30.59,32.76
P1\P2\UR3,0.69,0.74
P1\P2\LR3,61.81,66.22
P1\P2\LL4,62.21,66.64
P1\P2\UL4,31.14,33.36
P1\P2\UR4,0,0
P1\P2\LR4,0,0
P1\P2\LL5,61.98,66.39
P1\P2\UL5,0,0
P1\P2\UR5,0,0
P1\P2\LR5,31.37,33.61
cm2015-08-27.009,100,---
P1,99.95,99.95
P1\P2,94.66,94.71
P1\P2\LL3,0.14,0.14
P1\P2\UL3,0.03,0.04
P1\P2\UR3,0.01,0.01
P1\P2\LR3,94.49,99.82
P1\P2\LL4,94.63,99.96
P1\P2\UL4,0.03,0.04
P1\P2\UR4,0,0
P1\P2\LR4,0,0
P1\P2\LL5,94.6,99.93
P1\P2\UL5,0,0
P1\P2\UR5,0,0
P1\P2\LR5,0.07,0.07
cm2015-08-27.008,100,---
P1,99.8,99.8
P1\P2,89.46,89.64
P1\P2\LL3,0.08,0.09
P1\P2\UL3,50.33,56.26
P1\P2\UR3,1.55,1.74
P1\P2\LR3,37.5,41.92
P1\P2\LL4,37.84,42.3
P1\P2\UL4,51.62,57.7
P1\P2\UR4,0,0
P1\P2\LR4,0,0
P1\P2\LL5,37.36,41.76
P1\P2\UL5,0.01,0.01
P1\P2\UR5,0,0
P1\P2\LR5,52.09,58.23
cm2015-08-27.007,100,---
P1,91,91
P1\P2,90,98.9
P1\P2\LL3,0,0
P1\P2\UL3,54,60
P1\P2\UR3,0,0
P1\P2\LR3,36,40
P1\P2\LL4,36,40
P1\P2\UL4,54,60
P1\P2\UR4,0,0
P1\P2\LR4,0,0
P1\P2\LL5,34,37.78
P1\P2\UL5,0,0
P1\P2\UR5,1,1.11
P1\P2\LR5,55,61.11
cm2015-08-27.006,100,---
P1,99.88,99.88
P1\P2,94.28,94.4
P1\P2\LL3,0.03,0.04
P1\P2\UL3,50.48,53.53
P1\P2\UR3,0.75,0.8
P1\P2\LR3,43.03,45.63
P1\P2\LL4,43.16,45.78
P1\P2\UL4,51.12,54.22
P1\P2\UR4,0,0
P1\P2\LR4,0,0
P1\P2\LL5,42.96,45.56
P1\P2\UL5,0,0
P1\P2\UR5,0,0
P1\P2\LR5,51.32,54.44
cm2015-08-27.005,100,---
P1,56.98,56.98
P1\P2,56.98,100
P1\P2\LL3,2.33,4.08
P1\P2\UL3,38.37,67.35
P1\P2\UR3,0,0
P1\P2\LR3,16.28,28.57
P1\P2\LL4,19.77,34.69
P1\P2\UL4,37.21,65.31
P1\P2\UR4,0,0
P1\P2\LR4,0,0
P1\P2\LL5,18.6,32.65
P1\P2\UL5,0,0
P1\P2\UR5,0,0
P1\P2\LR5,38.37,67.35
cm2015-08-27.004,100,---
P1,99.86,99.86
P1\P2,93.23,93.36
P1\P2\LL3,0.06,0.06
P1\P2\UL3,50.38,54.04
P1\P2\UR3,0.86,0.92
P1\P2\LR3,41.94,44.98
P1\P2\LL4,42.12,45.18
P1\P2\UL4,51.11,54.82
P1\P2\UR4,0,0
P1\P2\LR4,0,0
P1\P2\LL5,41.85,44.9
P1\P2\UL5,0,0
P1\P2\UR5,0,0
P1\P2\LR5,51.37,55.1
cm2015-08-27.003,100,---
P1,69.48,69.48
P1\P2,69.48,100
P1\P2\LL3,7.79,11.21
P1\P2\UL3,37.66,54.21
P1\P2\UR3,0,0
P1\P2\LR3,24.03,34.58
P1\P2\LL4,31.82,45.79
P1\P2\UL4,37.66,54.21
P1\P2\UR4,0,0
P1\P2\LR4,0,0
P1\P2\LL5,31.82,45.79
P1\P2\UL5,0,0
P1\P2\UR5,0,0
P1\P2\LR5,37.66,54.21
cm2015-08-27.002,100,---
P1,99.84,99.84
P1\P2,94.49,94.64
P1\P2\LL3,0.07,0.07
P1\P2\UL3,51.14,54.12
P1\P2\UR3,0.65,0.69
P1\P2\LR3,42.63,45.11
P1\P2\LL4,42.82,45.31
P1\P2\UL4,51.68,54.69
P1\P2\UR4,0,0
P1\P2\LR4,0,0
P1\P2\LL5,42.58,45.06
P1\P2\UL5,0,0
P1\P2\UR5,0,0
P1\P2\LR5,51.92,54.94
cm2015-08-27.001,100,---
