file,group,group_name,group2,group2_name
cm2015-08-25.007,A,mCherry-vs-GFP,A,SC-ura-first
cm2015-08-25.008,A,mCherry-vs-GFP,B,SC+5FOA-first
cm2015-08-25.015,B,vs-ura3,A,SC-ura-first
cm2015-08-25.016,B,vs-ura3,B,SC+5FOA-first
cm2015-08-25.023,C,vs-URA3,A,SC-ura-first
live (cm2015-08-25.024),C,vs-URA3,B,SC+5FOA-first
