"","replicate","epoch","pool","treatment","name","percent_cells","Count.mL","Count"
"288","rep2",2,"red vs green","ura","cells",98.52,489000,48969
"289","rep2",2,"plastic vs P2","ura","cells",98.81,379000,37886
"290","rep2",2,"plastic vs P1","ura","cells",96.89,825000,82372
"291","rep2",2,"plastic vs P2","FOA","cells",98.75,457000,45604
"292","rep2",2,"red vs green","FOA","cells",98.78,374000,37397
"293","rep2",2,"red vs green","FOA","unstained",4.64,17300,1734
"294","rep2",2,"plastic vs P2","FOA","unstained",21.51,98200,9810
"295","rep2",2,"plastic vs P1","FOA","unstained",0.02,60.1,6
"296","rep2",2,"plastic vs P1","ura","unstained",40.87,337000,33665
"297","rep2",2,"red vs green","ura","unstained",8.37,41000,4100
"298","rep2",2,"plastic vs P2","ura","unstained",0.01,30,3
"299","rep2",2,"red vs green","FOA","GFP",47.65,178000,17820
"300","rep2",2,"red vs green","ura","GFP",44.12,216000,21606
"301","rep2",2,"plastic vs P2","FOA","GFP",74.12,338000,33801
"302","rep2",2,"plastic vs P2","ura","GFP",0,10,1
"303","rep2",2,"plastic vs P1","FOA","GFP",0,0,0
"304","rep2",2,"plastic vs P1","ura","GFP",48.75,402000,40158
"305","rep2",2,"plastic vs P2","FOA","mCherry",4.28,19500,1951
"306","rep2",2,"plastic vs P1","FOA","mCherry",99.98,383000,38267
"307","rep2",2,"plastic vs P1","ura","mCherry",10.31,85000,8496
"308","rep2",2,"red vs green","ura","mCherry",47.36,232000,23192
"309","rep2",2,"plastic vs P2","ura","mCherry",99.99,379000,37881
"310","rep2",2,"red vs green","FOA","mCherry",47.51,178000,17769
"311","rep2",2,"plastic vs P2","FOA","mCherry/GFP",0.09,420,42
"312","rep2",2,"red vs green","FOA","mCherry/GFP",0.2,739,74
"313","rep2",2,"plastic vs P1","ura","mCherry/GFP",0.06,531,53
"314","rep2",2,"red vs green","ura","mCherry/GFP",0.14,709,71
"315","rep2",2,"plastic vs P2","ura","mCherry/GFP",0,10,1
"316","rep2",2,"plastic vs P1","FOA","mCherry/GFP",0,0,0
"317","rep2",3,"plastic vs P1","FOA","cells",98.55,332000,33156
"318","rep2",3,"red vs green","ura","cells",98.88,328000,32734
"319","rep2",3,"plastic vs P2","ura","cells",98.6,312000,31160
"320","rep2",3,"plastic vs P1","ura","cells",98.57,308000,30721
"321","rep2",3,"plastic vs P2","FOA","cells",98.73,281000,28061
"322","rep2",3,"red vs green","FOA","cells",98.35,414000,41310
"323","rep2",3,"red vs green","FOA","unstained",19.07,78800,7876
"324","rep2",3,"plastic vs P2","FOA","unstained",0.02,70.1,7
"325","rep2",3,"plastic vs P1","FOA","unstained",0.03,110,11
"326","rep2",3,"plastic vs P1","ura","unstained",0.01,40,4
"327","rep2",3,"red vs green","ura","unstained",7.09,23200,2321
"328","rep2",3,"plastic vs P2","ura","unstained",0.09,270,27
"329","rep2",3,"red vs green","FOA","GFP",33.63,139000,13894
"330","rep2",3,"red vs green","ura","GFP",47.39,155000,15514
"331","rep2",3,"plastic vs P2","FOA","GFP",0.02,50.1,5
"332","rep2",3,"plastic vs P2","ura","GFP",0.26,801,80
"333","rep2",3,"plastic vs P1","FOA","GFP",0,0,0
"334","rep2",3,"plastic vs P1","ura","GFP",0,0,0
"335","rep2",3,"plastic vs P2","FOA","mCherry",99.96,281000,28049
"336","rep2",3,"plastic vs P1","FOA","mCherry",99.97,332000,33145
"337","rep2",3,"plastic vs P1","ura","mCherry",99.99,307000,30717
"338","rep2",3,"red vs green","ura","mCherry",45.29,148000,14824
"339","rep2",3,"plastic vs P2","ura","mCherry",99.66,311000,31053
"340","rep2",3,"red vs green","FOA","mCherry",47.08,195000,19448
"341","rep2",3,"plastic vs P2","FOA","mCherry/GFP",0,0,0
"342","rep2",3,"red vs green","FOA","mCherry/GFP",0.22,921,92
"343","rep2",3,"plastic vs P1","ura","mCherry/GFP",0,0,0
"344","rep2",3,"red vs green","ura","mCherry/GFP",0.23,751,75
"345","rep2",3,"plastic vs P2","ura","mCherry/GFP",0,0,0
"346","rep2",3,"plastic vs P1","FOA","mCherry/GFP",0,0,0
"347","rep2",4,"plastic vs P1","ura","cells",97.37,390000,38991
"348","rep2",4,"red vs green","FOA","cells",97.31,392000,39120
"349","rep2",4,"plastic vs P2","FOA","cells",97.09,373000,37287
"350","rep2",4,"plastic vs P1","FOA","cells",96.05,448000,44746
"351","rep2",4,"plastic vs P2","ura","cells",97.54,409000,40906
"352","rep2",4,"red vs green","ura","cells",97.93,323000,32306
