"","row","col","strain","ura3","estradiol","value"
"79","G",4,"colony3","Z4EVpr:Ub-I-URA3",0.037037037,1.241
"80","G",5,"colony3","Z4EVpr:Ub-I-URA3",0.012345679,1.229
"81","G",6,"colony3","Z4EVpr:Ub-I-URA3",0.004115226,1.234
"82","G",7,"colony3","Z4EVpr:Ub-I-URA3",0.001371742,1.048
"83","G",8,"colony3","Z4EVpr:Ub-I-URA3",0.000457247,0.167
"84","G",9,"colony3","Z4EVpr:Ub-I-URA3",0.000152416,0.07
"85","H",1,NA,NA,1,0.027
"86","H",10,NA,NA,5.08e-05,0.043
"87","H",11,NA,NA,1.69e-05,0.043
"88","H",12,NA,NA,0,0.043
"89","H",2,NA,NA,0.333333333,0.041
"90","H",3,NA,NA,0.111111111,0.044
"91","H",4,NA,NA,0.037037037,0.043
"92","H",5,NA,NA,0.012345679,0.043
"93","H",6,NA,NA,0.004115226,0.047
"94","H",7,NA,NA,0.001371742,0.042
"95","H",8,NA,NA,0.000457247,0.044
"96","H",9,NA,NA,0.000152416,0.042
