"","rep","media","estradiol","strain","ura3","post","pre"
"62",2,"SC-ura",0.025,"CMY97","Z4EVpr:Ub-I-Ek-URA3",119,5.45
"63",2,"SC-ura",0.05,"CMY97","Z4EVpr:Ub-I-Ek-URA3",118,5.65
"64",2,"SC-ura",0.1,"CMY97","Z4EVpr:Ub-I-Ek-URA3",125.5,4.915
"65",3,"SC+5FOA",0,"CMY138","ura3",79.5,5.2
"66",3,"SC+5FOA",0,"CMY97","Z4EVpr:Ub-I-Ek-URA3",72,5.3
"67",3,"SC+5FOA",0,"PMY1639","URA3",0.109,4.705
"68",3,"SC+5FOA",2.44e-05,"CMY97","Z4EVpr:Ub-I-Ek-URA3",71,4.15
"69",3,"SC+5FOA",4.88e-05,"CMY97","Z4EVpr:Ub-I-Ek-URA3",62,5.1
"70",3,"SC+5FOA",9.77e-05,"CMY97","Z4EVpr:Ub-I-Ek-URA3",68.5,3.98
"71",3,"SC+5FOA",0.0001953,"CMY97","Z4EVpr:Ub-I-Ek-URA3",75,5.6
"72",3,"SC+5FOA",0.0003906,"CMY97","Z4EVpr:Ub-I-Ek-URA3",58,4.55
"73",3,"SC+5FOA",0.0007812,"CMY97","Z4EVpr:Ub-I-Ek-URA3",30.7,5.45
"74",3,"SC+5FOA",0.0015625,"CMY97","Z4EVpr:Ub-I-Ek-URA3",9.1,5.25
"75",3,"SC+5FOA",0.003125,"CMY97","Z4EVpr:Ub-I-Ek-URA3",2.81,4.795
"76",3,"SC+5FOA",0.00625,"CMY97","Z4EVpr:Ub-I-Ek-URA3",0.705,6.05
"77",3,"SC+5FOA",0.0125,"CMY97","Z4EVpr:Ub-I-Ek-URA3",0.254,4.07
"78",3,"SC+5FOA",0.025,"CMY97","Z4EVpr:Ub-I-Ek-URA3",0.1595,4.25
"79",3,"SC+5FOA",0.05,"CMY97","Z4EVpr:Ub-I-Ek-URA3",0.1305,4.21
"80",3,"SC+5FOA",0.1,"CMY97","Z4EVpr:Ub-I-Ek-URA3",0.1335,4.485
"81",3,"SC-ura",0,"CMY138","ura3",0.133,5.95
"82",3,"SC-ura",0,"CMY97","Z4EVpr:Ub-I-Ek-URA3",0.16,6.45
"83",3,"SC-ura",0,"PMY1639","URA3",116.5,4.975
"84",3,"SC-ura",2.44e-05,"CMY97","Z4EVpr:Ub-I-Ek-URA3",0.139,4.93
"85",3,"SC-ura",4.88e-05,"CMY97","Z4EVpr:Ub-I-Ek-URA3",0.1505,6
"86",3,"SC-ura",9.77e-05,"CMY97","Z4EVpr:Ub-I-Ek-URA3",0.128,5.45
"87",3,"SC-ura",0.0001953,"CMY97","Z4EVpr:Ub-I-Ek-URA3",0.107,6.05
"88",3,"SC-ura",0.0003906,"CMY97","Z4EVpr:Ub-I-Ek-URA3",0.1165,5.35
"89",3,"SC-ura",0.0007812,"CMY97","Z4EVpr:Ub-I-Ek-URA3",0.1405,5.25
"90",3,"SC-ura",0.0015625,"CMY97","Z4EVpr:Ub-I-Ek-URA3",0.1595,5.95
"91",3,"SC-ura",0.003125,"CMY97","Z4EVpr:Ub-I-Ek-URA3",0.2275,5.9
"92",3,"SC-ura",0.00625,"CMY97","Z4EVpr:Ub-I-Ek-URA3",1.36,5.85
"93",3,"SC-ura",0.0125,"CMY97","Z4EVpr:Ub-I-Ek-URA3",56,5.1
"94",3,"SC-ura",0.025,"CMY97","Z4EVpr:Ub-I-Ek-URA3",106.5,4.945
"95",3,"SC-ura",0.05,"CMY97","Z4EVpr:Ub-I-Ek-URA3",117.5,4.86
"96",3,"SC-ura",0.1,"CMY97","Z4EVpr:Ub-I-Ek-URA3",124,5.25
