Path,%-T,%-#,Count,Count/mL,Count/µL,file
live (cm2016-02-04.012),100.00,---,33326,3.34e5,333.61,live (cm2016-02-04.012)
P1,99.28,99.28,33087,3.31e5,331.21,live (cm2016-02-04.012)
P1\P2,98.18,98.89,32719,3.28e5,327.53,live (cm2016-02-04.012)
P1\P2\LL3,0.01,0.01,4,40,0.04,live (cm2016-02-04.012)
P1\P2\UL3,98.17,99.99,32715,3.27e5,327.49,live (cm2016-02-04.012)
P1\P2\UR3,0.00,0.00,0,0,0.00,live (cm2016-02-04.012)
P1\P2\LR3,0.00,0.00,0,0,0.00,live (cm2016-02-04.012)
P1\P2\LL4,0.09,0.09,29,290,0.29,live (cm2016-02-04.012)
P1\P2\UL4,98.09,99.91,32690,3.27e5,327.24,live (cm2016-02-04.012)
P1\P2\UR4,0.00,0.00,0,0,0.00,live (cm2016-02-04.012)
P1\P2\LR4,0.00,0.00,0,0,0.00,live (cm2016-02-04.012)
P1\P2\LL5,0.01,0.01,3,30,0.03,live (cm2016-02-04.012)
P1\P2\UL5,0.00,0.00,0,0,0.00,live (cm2016-02-04.012)
P1\P2\UR5,0.01,0.01,3,30,0.03,live (cm2016-02-04.012)
P1\P2\LR5,98.16,99.98,32713,3.27e5,327.47,live (cm2016-02-04.012)
cm2016-02-04.011,100.00,---,38544,3.86e5,385.84,cm2016-02-04.011
P1,99.37,99.37,38302,3.83e5,383.42,cm2016-02-04.011
P1\P2,98.32,98.95,37898,3.79e5,379.37,cm2016-02-04.011
P1\P2\LL3,22.26,22.63,8578,8.59e4,85.87,cm2016-02-04.011
P1\P2\UL3,4.63,4.70,1783,1.78e4,17.85,cm2016-02-04.011
P1\P2\UR3,0.03,0.03,11,110,0.11,cm2016-02-04.011
P1\P2\LR3,71.41,72.63,27526,2.76e5,275.55,cm2016-02-04.011
P1\P2\LL4,93.68,95.28,36108,3.61e5,361.46,cm2016-02-04.011
P1\P2\UL4,4.64,4.72,1790,1.79e4,17.92,cm2016-02-04.011
P1\P2\UR4,0.00,0.00,0,0,0.00,cm2016-02-04.011
P1\P2\LR4,0.00,0.00,0,0,0.00,cm2016-02-04.011
P1\P2\LL5,92.80,94.38,35769,3.58e5,358.06,cm2016-02-04.011
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-04.011
P1\P2\UR5,0.00,0.00,0,0,0.00,cm2016-02-04.011
P1\P2\LR5,5.52,5.62,2129,2.13e4,21.31,cm2016-02-04.011
cm2016-02-04.010,100.00,---,37975,3.8e5,380.15,cm2016-02-04.010
P1,99.20,99.20,37673,3.77e5,377.12,cm2016-02-04.010
P1\P2,97.98,98.77,37209,3.72e5,372.48,cm2016-02-04.010
P1\P2\LL3,4.53,4.62,1719,1.72e4,17.21,cm2016-02-04.010
P1\P2\UL3,42.79,43.67,16250,1.63e5,162.67,cm2016-02-04.010
P1\P2\UR3,0.15,0.15,57,571,0.57,cm2016-02-04.010
P1\P2\LR3,50.51,51.55,19183,1.92e5,192.03,cm2016-02-04.010
P1\P2\LL4,55.15,56.29,20944,2.1e5,209.66,cm2016-02-04.010
P1\P2\UL4,42.83,43.71,16264,1.63e5,162.81,cm2016-02-04.010
P1\P2\UR4,0.00,0.00,0,0,0.00,cm2016-02-04.010
P1\P2\LR4,0.00,0.00,1,10,0.01,cm2016-02-04.010
P1\P2\LL5,54.59,55.72,20731,2.08e5,207.53,cm2016-02-04.010
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-04.010
P1\P2\UR5,0.01,0.01,5,50.1,0.05,cm2016-02-04.010
P1\P2\LR5,43.38,44.27,16473,1.65e5,164.90,cm2016-02-04.010
cm2016-02-04.009,100.00,---,74415,7.51e5,751.20,cm2016-02-04.009
P1,98.27,98.27,73126,7.38e5,738.18,cm2016-02-04.009
P1\P2,96.13,97.82,71533,7.22e5,722.10,cm2016-02-04.009
P1\P2\LL3,32.42,33.73,24129,2.44e5,243.57,cm2016-02-04.009
P1\P2\UL3,14.73,15.32,10960,1.11e5,110.64,cm2016-02-04.009
P1\P2\UR3,0.09,0.10,68,686,0.69,cm2016-02-04.009
P1\P2\LR3,48.88,50.85,36376,3.67e5,367.20,cm2016-02-04.009
P1\P2\LL4,81.38,84.66,60558,6.11e5,611.31,cm2016-02-04.009
