Path,%-T,%-#,Count,Count/mL,Count/µL,file
P1\P2\UL4,14.75,15.34,10974,1.11e5,110.78,cm2016-02-04.009
P1\P2\UR4,0.00,0.00,0,0,0.00,cm2016-02-04.009
P1\P2\LR4,0.00,0.00,1,10.1,0.01,cm2016-02-04.009
P1\P2\LL5,80.92,84.18,60213,6.08e5,607.83,cm2016-02-04.009
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-04.009
P1\P2\UR5,0.01,0.01,5,50.5,0.05,cm2016-02-04.009
P1\P2\LR5,15.21,15.82,11315,1.14e5,114.22,cm2016-02-04.009
cm2016-02-04.008,100.00,---,38480,3.85e5,385.20,cm2016-02-04.008
P1,99.57,99.57,38314,3.84e5,383.54,cm2016-02-04.008
P1\P2,98.45,98.88,37883,3.79e5,379.22,cm2016-02-04.008
P1\P2\LL3,0.01,0.01,3,30,0.03,cm2016-02-04.008
P1\P2\UL3,98.44,99.99,37878,3.79e5,379.17,cm2016-02-04.008
P1\P2\UR3,0.00,0.00,0,0,0.00,cm2016-02-04.008
P1\P2\LR3,0.01,0.01,2,20,0.02,cm2016-02-04.008
P1\P2\LL4,0.03,0.03,11,110,0.11,cm2016-02-04.008
P1\P2\UL4,98.42,99.97,37872,3.79e5,379.11,cm2016-02-04.008
P1\P2\UR4,0.00,0.00,0,0,0.00,cm2016-02-04.008
P1\P2\LR4,0.00,0.00,0,0,0.00,cm2016-02-04.008
P1\P2\LL5,0.01,0.01,4,40,0.04,cm2016-02-04.008
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-04.008
P1\P2\UR5,0.02,0.02,7,70.1,0.07,cm2016-02-04.008
P1\P2\LR5,98.42,99.97,37872,3.79e5,379.11,cm2016-02-04.008
cm2016-02-04.007,100.00,---,48559,4.86e5,486.10,cm2016-02-04.007
P1,99.46,99.46,48299,4.83e5,483.49,cm2016-02-04.007
P1\P2,98.02,98.54,47596,4.76e5,476.46,cm2016-02-04.007
P1\P2\LL3,8.37,8.54,4065,4.07e4,40.69,cm2016-02-04.007
P1\P2\UL3,51.26,52.30,24893,2.49e5,249.19,cm2016-02-04.007
P1\P2\UR3,0.13,0.14,65,651,0.65,cm2016-02-04.007
P1\P2\LR3,38.25,39.02,18573,1.86e5,185.92,cm2016-02-04.007
P1\P2\LL4,46.68,47.62,22667,2.27e5,226.91,cm2016-02-04.007
P1\P2\UL4,51.34,52.38,24929,2.5e5,249.55,cm2016-02-04.007
P1\P2\UR4,0.00,0.00,0,0,0.00,cm2016-02-04.007
P1\P2\LR4,0.00,0.00,0,0,0.00,cm2016-02-04.007
P1\P2\LL5,45.99,46.92,22334,2.24e5,223.57,cm2016-02-04.007
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-04.007
P1\P2\UR5,0.01,0.01,4,40,0.04,cm2016-02-04.007
P1\P2\LR5,52.02,53.07,25258,2.53e5,252.84,cm2016-02-04.007
