Path,%-T,%-#,Count,Count/mL,Count/µL,file
P1\P2\LL5,55.02,56.47,23590,2.36e5,236.15,cm2016-02-04.016
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-04.016
P1\P2\UR5,0.03,0.03,13,130,0.13,cm2016-02-04.016
P1\P2\LR5,42.38,43.50,18170,1.82e5,181.89,cm2016-02-04.016
cm2016-02-04.015,100.00,---,38019,3.88e5,387.70,cm2016-02-04.015
P1,97.82,97.82,37190,3.79e5,379.25,cm2016-02-04.015
P1\P2,96.71,98.87,36769,3.75e5,374.96,cm2016-02-04.015
P1\P2\LL3,0.02,0.02,8,81.6,0.08,cm2016-02-04.015
P1\P2\UL3,96.69,99.98,36761,3.75e5,374.88,cm2016-02-04.015
P1\P2\UR3,0.00,0.00,0,0,0.00,cm2016-02-04.015
P1\P2\LR3,0.00,0.00,0,0,0.00,cm2016-02-04.015
P1\P2\LL4,0.08,0.08,30,306,0.31,cm2016-02-04.015
P1\P2\UL4,96.62,99.90,36733,3.75e5,374.59,cm2016-02-04.015
P1\P2\UR4,0.01,0.01,2,20.4,0.02,cm2016-02-04.015
P1\P2\LR4,0.01,0.01,4,40.8,0.04,cm2016-02-04.015
P1\P2\LL5,0.01,0.01,5,51,0.05,cm2016-02-04.015
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-04.015
P1\P2\UR5,0.02,0.02,6,61.2,0.06,cm2016-02-04.015
P1\P2\LR5,96.68,99.97,36758,3.75e5,374.84,cm2016-02-04.015
cm2016-02-04.014,100.00,---,40006,4e5,400.48,cm2016-02-04.014
P1,99.16,99.16,39669,3.97e5,397.10,cm2016-02-04.014
P1\P2,98.14,98.97,39262,3.93e5,393.03,cm2016-02-04.014
P1\P2\LL3,0.09,0.10,38,380,0.38,cm2016-02-04.014
P1\P2\UL3,97.22,99.07,38895,3.89e5,389.35,cm2016-02-04.014
P1\P2\UR3,0.01,0.02,6,60.1,0.06,cm2016-02-04.014
P1\P2\LR3,0.81,0.82,323,3.23e3,3.23,cm2016-02-04.014
P1\P2\LL4,1.00,1.02,400,4e3,4.00,cm2016-02-04.014
P1\P2\UL4,97.13,98.97,38858,3.89e5,388.98,cm2016-02-04.014
P1\P2\UR4,0.00,0.01,2,20,0.02,cm2016-02-04.014
P1\P2\LR4,0.00,0.01,2,20,0.02,cm2016-02-04.014
P1\P2\LL5,0.87,0.89,348,3.48e3,3.48,cm2016-02-04.014
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-04.014
P1\P2\UR5,0.03,0.03,13,130,0.13,cm2016-02-04.014
P1\P2\LR5,97.24,99.08,38901,3.89e5,389.42,cm2016-02-04.014
cm2016-02-04.013,100.00,---,43462,4.35e5,435.07,cm2016-02-04.013
P1,99.31,99.31,43162,4.32e5,432.07,cm2016-02-04.013
P1\P2,97.90,98.58,42550,4.26e5,425.94,cm2016-02-04.013
P1\P2\LL3,7.32,7.48,3182,3.19e4,31.85,cm2016-02-04.013
P1\P2\UL3,52.16,53.28,22671,2.27e5,226.95,cm2016-02-04.013
P1\P2\UR3,0.19,0.19,81,811,0.81,cm2016-02-04.013
P1\P2\LR3,38.23,39.05,16616,1.66e5,166.33,cm2016-02-04.013
P1\P2\LL4,45.61,46.59,19822,1.98e5,198.43,cm2016-02-04.013
P1\P2\UL4,52.29,53.41,22725,2.27e5,227.49,cm2016-02-04.013
P1\P2\UR4,0.00,0.00,1,10,0.01,cm2016-02-04.013
P1\P2\LR4,0.00,0.00,2,20,0.02,cm2016-02-04.013
P1\P2\LL5,45.05,46.02,19581,1.96e5,196.01,cm2016-02-04.013
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-04.013
P1\P2\UR5,0.01,0.01,4,40,0.04,cm2016-02-04.013
P1\P2\LR5,52.84,53.97,22965,2.3e5,229.89,cm2016-02-04.013
