Path,%-T,%-#,Count,Count/mL,Count/µL,file
live (cm2016-02-04.018),100.00,---,46163,4.62e5,462.11,live (cm2016-02-04.018)
P1,98.95,98.95,45676,4.57e5,457.24,live (cm2016-02-04.018)
P1\P2,97.27,98.31,44904,4.5e5,449.51,live (cm2016-02-04.018)
P1\P2\LL3,0.03,0.04,16,160,0.16,live (cm2016-02-04.018)
P1\P2\UL3,97.24,99.96,44887,4.49e5,449.34,live (cm2016-02-04.018)
P1\P2\UR3,0.00,0.00,1,10,0.01,live (cm2016-02-04.018)
P1\P2\LR3,0.00,0.00,0,0,0.00,live (cm2016-02-04.018)
P1\P2\LL4,0.19,0.19,86,861,0.86,live (cm2016-02-04.018)
P1\P2\UL4,97.07,99.79,44811,4.49e5,448.58,live (cm2016-02-04.018)
P1\P2\UR4,0.01,0.01,5,50.1,0.05,live (cm2016-02-04.018)
P1\P2\LR4,0.00,0.00,2,20,0.02,live (cm2016-02-04.018)
P1\P2\LL5,0.02,0.02,7,70.1,0.07,live (cm2016-02-04.018)
P1\P2\UL5,0.00,0.00,0,0,0.00,live (cm2016-02-04.018)
P1\P2\UR5,0.03,0.03,15,150,0.15,live (cm2016-02-04.018)
P1\P2\LR5,97.23,99.95,44882,4.49e5,449.29,live (cm2016-02-04.018)
cm2016-02-04.017,100.00,---,35293,3.53e5,352.64,cm2016-02-04.017
P1,99.09,99.09,34971,3.49e5,349.42,cm2016-02-04.017
P1\P2,97.74,98.64,34497,3.45e5,344.68,cm2016-02-04.017
P1\P2\LL3,0.03,0.03,9,89.9,0.09,cm2016-02-04.017
P1\P2\UL3,97.70,99.95,34480,3.45e5,344.51,cm2016-02-04.017
P1\P2\UR3,0.00,0.00,1,9.99,0.01,cm2016-02-04.017
P1\P2\LR3,0.02,0.02,7,69.9,0.07,cm2016-02-04.017
P1\P2\LL4,0.13,0.14,47,470,0.47,cm2016-02-04.017
P1\P2\UL4,97.60,99.85,34446,3.44e5,344.17,cm2016-02-04.017
P1\P2\UR4,0.01,0.01,3,30,0.03,cm2016-02-04.017
P1\P2\LR4,0.00,0.00,1,9.99,0.01,cm2016-02-04.017
P1\P2\LL5,0.04,0.04,15,150,0.15,cm2016-02-04.017
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-04.017
P1\P2\UR5,0.03,0.03,10,99.9,0.10,cm2016-02-04.017
P1\P2\LR5,97.67,99.93,34472,3.44e5,344.43,cm2016-02-04.017
cm2016-02-04.016,100.00,---,42877,4.29e5,429.22,cm2016-02-04.016
P1,98.91,98.91,42410,4.25e5,424.54,cm2016-02-04.016
P1\P2,97.43,98.50,41773,4.18e5,418.16,cm2016-02-04.016
P1\P2\LL3,10.67,10.95,4575,4.58e4,45.80,cm2016-02-04.016
P1\P2\UL3,40.90,41.98,17538,1.76e5,175.56,cm2016-02-04.016
P1\P2\UR3,0.21,0.22,92,921,0.92,cm2016-02-04.016
P1\P2\LR3,45.64,46.84,19568,1.96e5,195.88,cm2016-02-04.016
P1\P2\LL4,56.69,58.19,24306,2.43e5,243.31,cm2016-02-04.016
P1\P2\UL4,40.72,41.80,17460,1.75e5,174.78,cm2016-02-04.016
P1\P2\UR4,0.01,0.01,4,40,0.04,cm2016-02-04.016
P1\P2\LR4,0.01,0.01,3,30,0.03,cm2016-02-04.016
