Path,%-T,%-#,Count,Count/mL,Count/µL,file
P1\P2\UR4,0.00,0.00,0,0,0.00,cm2016-02-01.003
P1\P2\LR4,0.00,0.00,0,0,0.00,cm2016-02-01.003
P1\P2\LL5,0.02,0.02,8,80,0.08,cm2016-02-01.003
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-01.003
P1\P2\UR5,0.02,0.02,9,90,0.09,cm2016-02-01.003
P1\P2\LR5,97.80,99.96,39620,3.96e5,396.36,cm2016-02-01.003
cm2016-02-01.002,100.00,---,37429,3.74e5,374.44,cm2016-02-01.002
P1,99.59,99.59,37275,3.73e5,372.90,cm2016-02-01.002
P1\P2,98.43,98.83,36840,3.69e5,368.55,cm2016-02-01.002
P1\P2\LL3,1.96,1.99,733,7.33e3,7.33,cm2016-02-01.002
P1\P2\UL3,53.93,54.79,20186,2.02e5,201.94,cm2016-02-01.002
P1\P2\UR3,0.07,0.07,27,270,0.27,cm2016-02-01.002
P1\P2\LR3,42.46,43.14,15894,1.59e5,159.01,cm2016-02-01.002
P1\P2\LL4,44.45,45.16,16637,1.66e5,166.44,cm2016-02-01.002
P1\P2\UL4,53.98,54.84,20203,2.02e5,202.11,cm2016-02-01.002
P1\P2\UR4,0.00,0.00,0,0,0.00,cm2016-02-01.002
P1\P2\LR4,0.00,0.00,0,0,0.00,cm2016-02-01.002
P1\P2\LL5,43.90,44.61,16433,1.64e5,164.40,cm2016-02-01.002
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-01.002
P1\P2\UR5,0.01,0.01,3,30,0.03,cm2016-02-01.002
P1\P2\LR5,54.51,55.39,20404,2.04e5,204.12,cm2016-02-01.002
