file,pool,treatment
live (cm2016-02-04.012),C,FOA
cm2016-02-04.011,B,FOA
cm2016-02-04.010,A,FOA
cm2016-02-04.009,C,ura
cm2016-02-04.008,B,ura
cm2016-02-04.007,A,ura
