Path,%-T,%-#,Count,Count/mL,Count/µL,file
live (cm2016-02-02.003),100.00,---,57035,5.71e5,570.94,live (cm2016-02-02.003)
P1,99.55,99.55,56779,5.68e5,568.38,live (cm2016-02-02.003)
P1\P2,97.88,98.32,55825,5.59e5,558.83,live (cm2016-02-02.003)
P1\P2\LL3,6.52,6.67,3721,3.72e4,37.25,live (cm2016-02-02.003)
P1\P2\UL3,55.79,57.00,31819,3.19e5,318.52,live (cm2016-02-02.003)
P1\P2\UR3,0.11,0.11,63,631,0.63,live (cm2016-02-02.003)
P1\P2\LR3,35.46,36.22,20222,2.02e5,202.43,live (cm2016-02-02.003)
P1\P2\LL4,42.00,42.91,23957,2.4e5,239.82,live (cm2016-02-02.003)
P1\P2\UL4,55.87,57.09,31868,3.19e5,319.01,live (cm2016-02-02.003)
P1\P2\UR4,0.00,0.00,0,0,0.00,live (cm2016-02-02.003)
P1\P2\LR4,0.00,0.00,0,0,0.00,live (cm2016-02-02.003)
P1\P2\LL5,41.89,42.79,23890,2.39e5,239.15,live (cm2016-02-02.003)
P1\P2\UL5,0.00,0.00,0,0,0.00,live (cm2016-02-02.003)
P1\P2\UR5,0.00,0.00,2,20,0.02,live (cm2016-02-02.003)
P1\P2\LR5,55.99,57.20,31933,3.2e5,319.66,live (cm2016-02-02.003)
cm2016-02-02.002,100.00,---,67823,6.79e5,678.94,cm2016-02-02.002
P1,99.52,99.52,67499,6.76e5,675.69,cm2016-02-02.002
P1\P2,97.57,98.04,66175,6.62e5,662.44,cm2016-02-02.002
P1\P2\LL3,3.96,4.06,2687,2.69e4,26.90,cm2016-02-02.002
P1\P2\UL3,57.20,58.62,38794,3.88e5,388.34,cm2016-02-02.002
P1\P2\UR3,0.17,0.18,118,1.18e3,1.18,cm2016-02-02.002
P1\P2\LR3,36.24,37.14,24576,2.46e5,246.02,cm2016-02-02.002
P1\P2\LL4,40.25,41.25,27298,2.73e5,273.26,cm2016-02-02.002
P1\P2\UL4,57.32,58.75,38877,3.89e5,389.17,cm2016-02-02.002
P1\P2\UR4,0.00,0.00,0,0,0.00,cm2016-02-02.002
P1\P2\LR4,0.00,0.00,0,0,0.00,cm2016-02-02.002
P1\P2\LL5,40.08,41.08,27186,2.72e5,272.14,cm2016-02-02.002
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-02.002
P1\P2\UR5,0.01,0.01,5,50.1,0.05,cm2016-02-02.002
P1\P2\LR5,57.48,58.91,38984,3.9e5,390.25,cm2016-02-02.002
cm2016-02-02.001,100.00,---,66134,6.62e5,662.03,cm2016-02-02.001
P1,99.57,99.57,65847,6.59e5,659.16,cm2016-02-02.001
P1\P2,97.90,98.32,64742,6.48e5,648.09,cm2016-02-02.001
P1\P2\LL3,0.88,0.90,583,5.84e3,5.84,cm2016-02-02.001
P1\P2\UL3,51.47,52.58,34039,3.41e5,340.74,cm2016-02-02.001
P1\P2\UR3,0.23,0.24,154,1.54e3,1.54,cm2016-02-02.001
P1\P2\LR3,45.31,46.29,29966,3e5,299.97,cm2016-02-02.001
P1\P2\LL4,46.23,47.23,30577,3.06e5,306.09,cm2016-02-02.001
P1\P2\UL4,51.66,52.77,34165,3.42e5,342.01,cm2016-02-02.001
P1\P2\UR4,0.00,0.00,0,0,0.00,cm2016-02-02.001
P1\P2\LR4,0.00,0.00,0,0,0.00,cm2016-02-02.001
P1\P2\LL5,46.12,47.11,30500,3.05e5,305.32,cm2016-02-02.001
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-02.001
P1\P2\UR5,0.00,0.00,2,20,0.02,cm2016-02-02.001
P1\P2\LR5,51.77,52.89,34240,3.43e5,342.76,cm2016-02-02.001
