file,pool,treatment
live (cm2016-02-04.018),C,FOA
cm2016-02-04.017,B,FOA
cm2016-02-04.016,A,FOA
cm2016-02-04.015,C,ura
cm2016-02-04.014,B,ura
cm2016-02-04.013,A,ura
