Path,%-T,%-#,Count,Count/mL,Count/µL,file
live (cm2016-02-01.010),100.00,---,13325,5.37e5,537.49,live (cm2016-02-01.010)
P1,95.56,95.56,12734,5.14e5,513.65,live (cm2016-02-01.010)
P1\P2,93.55,97.89,12465,5.03e5,502.80,live (cm2016-02-01.010)
P1\P2\LL3,10.09,10.78,1344,5.42e4,54.21,live (cm2016-02-01.010)
P1\P2\UL3,47.55,50.83,6336,2.56e5,255.58,live (cm2016-02-01.010)
P1\P2\UR3,0.16,0.17,21,847,0.85,live (cm2016-02-01.010)
P1\P2\LR3,35.75,38.22,4764,1.92e5,192.17,live (cm2016-02-01.010)
P1\P2\LL4,45.92,49.09,6119,2.47e5,246.82,live (cm2016-02-01.010)
P1\P2\UL4,47.62,50.91,6346,2.56e5,255.98,live (cm2016-02-01.010)
P1\P2\UR4,0.00,0.00,0,0,0.00,live (cm2016-02-01.010)
P1\P2\LR4,0.00,0.00,0,0,0.00,live (cm2016-02-01.010)
P1\P2\LL5,45.48,48.62,6060,2.44e5,244.44,live (cm2016-02-01.010)
P1\P2\UL5,0.00,0.00,0,0,0.00,live (cm2016-02-01.010)
P1\P2\UR5,0.02,0.02,2,80.7,0.08,live (cm2016-02-01.010)
P1\P2\LR5,48.05,51.37,6403,2.58e5,258.28,live (cm2016-02-01.010)
cm2016-02-01.009,100.00,---,13897,5.62e5,561.95,cm2016-02-01.009
P1,99.33,99.33,13804,5.58e5,558.19,cm2016-02-01.009
P1\P2,97.68,98.34,13575,5.49e5,548.93,cm2016-02-01.009
P1\P2\LL3,7.26,7.43,1009,4.08e4,40.80,cm2016-02-01.009
P1\P2\UL3,45.44,46.52,6315,2.55e5,255.36,cm2016-02-01.009
P1\P2\UR3,0.11,0.11,15,607,0.61,cm2016-02-01.009
P1\P2\LR3,44.87,45.94,6236,2.52e5,252.16,cm2016-02-01.009
P1\P2\LL4,52.16,53.39,7248,2.93e5,293.09,cm2016-02-01.009
P1\P2\UL4,45.53,46.61,6327,2.56e5,255.84,cm2016-02-01.009
P1\P2\UR4,0.00,0.00,0,0,0.00,cm2016-02-01.009
P1\P2\LR4,0.00,0.00,0,0,0.00,cm2016-02-01.009
P1\P2\LL5,51.97,53.20,7222,2.92e5,292.03,cm2016-02-01.009
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-01.009
P1\P2\UR5,0.01,0.01,1,40.4,0.04,cm2016-02-01.009
P1\P2\LR5,45.71,46.79,6352,2.57e5,256.85,cm2016-02-01.009
cm2016-02-01.008,100.00,---,11636,4.67e5,467.38,cm2016-02-01.008
P1,99.54,99.54,11583,4.65e5,465.26,cm2016-02-01.008
P1\P2,98.12,98.57,11417,4.59e5,458.59,cm2016-02-01.008
P1\P2\LL3,6.17,6.29,718,2.88e4,28.84,cm2016-02-01.008
P1\P2\UL3,46.66,47.55,5429,2.18e5,218.07,cm2016-02-01.008
P1\P2\UR3,0.20,0.20,23,924,0.92,cm2016-02-01.008
P1\P2\LR3,45.09,45.96,5247,2.11e5,210.76,cm2016-02-01.008
P1\P2\LL4,51.30,52.28,5969,2.4e5,239.76,cm2016-02-01.008
P1\P2\UL4,46.82,47.72,5448,2.19e5,218.83,cm2016-02-01.008
P1\P2\UR4,0.00,0.00,0,0,0.00,cm2016-02-01.008
P1\P2\LR4,0.00,0.00,0,0,0.00,cm2016-02-01.008
P1\P2\LL5,51.08,52.06,5944,2.39e5,238.75,cm2016-02-01.008
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-01.008
P1\P2\UR5,0.00,0.00,0,0,0.00,cm2016-02-01.008
P1\P2\LR5,47.04,47.94,5473,2.2e5,219.83,cm2016-02-01.008
