file,pool,treatment
live (cm2016-02-02.015),C,FOA
cm2016-02-02.014,B,FOA
cm2016-02-02.013,A,FOA
cm2016-02-02.012,C,ura
cm2016-02-02.011,B,ura
cm2016-02-02.010,A,ura
