file,pool,treatment
live (cm2016-02-06.020),C,ura
cm2016-02-06.019,B,ura
cm2016-02-06.018,A,ura
cm2016-02-06.017,C,FOA
cm2016-02-06.016,B,FOA
cm2016-02-06.015,A,FOA
