file,pool,treatment
live (cm2016-02-04.030),C,ura
cm2016-02-04.029,B,ura
cm2016-02-04.028,A,ura
cm2016-02-04.027,C,FOA
cm2016-02-04.026,B,FOA
cm2016-02-04.025,A,FOA
