Path,%-T,%-#,Count,Count/mL,Count/µL,file
cm2016-02-02.009,100.00,---,3869,3.88e4,38.80,cm2016-02-02.009
P1,44.48,44.48,1721,1.73e4,17.26,cm2016-02-02.009
P1\P2,42.98,96.63,1663,1.67e4,16.68,cm2016-02-02.009
P1\P2\LL3,0.05,0.12,2,20.1,0.02,cm2016-02-02.009
P1\P2\UL3,42.93,99.88,1661,1.67e4,16.66,cm2016-02-02.009
P1\P2\UR3,0.00,0.00,0,0,0.00,cm2016-02-02.009
P1\P2\LR3,0.00,0.00,0,0,0.00,cm2016-02-02.009
P1\P2\LL4,0.05,0.12,2,20.1,0.02,cm2016-02-02.009
P1\P2\UL4,42.93,99.88,1661,1.67e4,16.66,cm2016-02-02.009
P1\P2\UR4,0.00,0.00,0,0,0.00,cm2016-02-02.009
P1\P2\LR4,0.00,0.00,0,0,0.00,cm2016-02-02.009
P1\P2\LL5,0.03,0.06,1,10,0.01,cm2016-02-02.009
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-02.009
P1\P2\UR5,0.00,0.00,0,0,0.00,cm2016-02-02.009
P1\P2\LR5,42.96,99.94,1662,1.67e4,16.67,cm2016-02-02.009
cm2016-02-02.008,100.00,---,40298,4.03e5,403.40,cm2016-02-02.008
P1,99.28,99.28,40007,4e5,400.49,cm2016-02-02.008
P1\P2,98.11,98.83,39537,3.96e5,395.78,cm2016-02-02.008
P1\P2\LL3,0.00,0.01,2,20,0.02,cm2016-02-02.008
P1\P2\UL3,98.07,99.96,39520,3.96e5,395.61,cm2016-02-02.008
P1\P2\UR3,0.00,0.00,1,10,0.01,cm2016-02-02.008
P1\P2\LR3,0.03,0.04,14,140,0.14,cm2016-02-02.008
P1\P2\LL4,0.05,0.05,21,210,0.21,cm2016-02-02.008
P1\P2\UL4,98.06,99.95,39516,3.96e5,395.57,cm2016-02-02.008
P1\P2\UR4,0.00,0.00,0,0,0.00,cm2016-02-02.008
P1\P2\LR4,0.00,0.00,0,0,0.00,cm2016-02-02.008
P1\P2\LL5,0.04,0.04,16,160,0.16,cm2016-02-02.008
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-02.008
P1\P2\UR5,0.00,0.00,1,10,0.01,cm2016-02-02.008
P1\P2\LR5,98.07,99.96,39520,3.96e5,395.61,cm2016-02-02.008
cm2016-02-02.007,100.00,---,40304,4.03e5,402.71,cm2016-02-02.007
