Path,%-T,%-#,Count,Count/mL,Count/µL,file
P1,99.31,99.31,40027,4e5,399.94,cm2016-02-02.007
P1\P2,98.14,98.82,39553,3.95e5,395.20,cm2016-02-02.007
P1\P2\LL3,0.92,0.94,371,3.71e3,3.71,cm2016-02-02.007
P1\P2\UL3,60.55,61.70,24405,2.44e5,243.85,cm2016-02-02.007
P1\P2\UR3,0.14,0.14,57,570,0.57,cm2016-02-02.007
P1\P2\LR3,36.52,37.22,14720,1.47e5,147.08,cm2016-02-02.007
P1\P2\LL4,37.49,38.20,15108,1.51e5,150.95,cm2016-02-02.007
P1\P2\UL4,60.65,61.80,24445,2.44e5,244.25,cm2016-02-02.007
P1\P2\UR4,0.00,0.00,0,0,0.00,cm2016-02-02.007
P1\P2\LR4,0.00,0.00,0,0,0.00,cm2016-02-02.007
P1\P2\LL5,36.99,37.69,14908,1.49e5,148.96,cm2016-02-02.007
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-02.007
P1\P2\UR5,0.00,0.01,2,20,0.02,cm2016-02-02.007
P1\P2\LR5,61.14,62.30,24643,2.46e5,246.23,cm2016-02-02.007
cm2016-02-02.006,100.00,---,43512,4.36e5,435.57,cm2016-02-02.006
P1,99.31,99.31,43211,4.33e5,432.56,cm2016-02-02.006
P1\P2,98.10,98.78,42684,4.27e5,427.28,cm2016-02-02.006
P1\P2\LL3,2.42,2.46,1052,1.05e4,10.53,cm2016-02-02.006
P1\P2\UL3,56.52,57.61,24591,2.46e5,246.17,cm2016-02-02.006
P1\P2\UR3,0.13,0.13,56,561,0.56,cm2016-02-02.006
P1\P2\LR3,39.04,39.79,16985,1.7e5,170.03,cm2016-02-02.006
P1\P2\LL4,41.49,42.29,18053,1.81e5,180.72,cm2016-02-02.006
P1\P2\UL4,56.61,57.71,24631,2.47e5,246.57,cm2016-02-02.006
P1\P2\UR4,0.00,0.00,0,0,0.00,cm2016-02-02.006
P1\P2\LR4,0.00,0.00,0,0,0.00,cm2016-02-02.006
P1\P2\LL5,41.03,41.83,17855,1.79e5,178.74,cm2016-02-02.006
P1\P2\UL5,0.00,0.00,1,10,0.01,cm2016-02-02.006
P1\P2\UR5,0.02,0.02,7,70.1,0.07,cm2016-02-02.006
P1\P2\LR5,57.04,58.15,24821,2.48e5,248.47,cm2016-02-02.006
cm2016-02-02.005,100.00,---,37465,3.74e5,374.34,cm2016-02-02.005
P1,99.07,99.07,37116,3.71e5,370.85,cm2016-02-02.005
P1\P2,97.93,98.85,36689,3.67e5,366.59,cm2016-02-02.005
P1\P2\LL3,0.01,0.01,2,20,0.02,cm2016-02-02.005
P1\P2\UL3,97.88,99.95,36669,3.66e5,366.39,cm2016-02-02.005
P1\P2\UR3,0.00,0.00,0,0,0.00,cm2016-02-02.005
P1\P2\LR3,0.05,0.05,18,180,0.18,cm2016-02-02.005
P1\P2\LL4,0.07,0.07,27,270,0.27,cm2016-02-02.005
P1\P2\UL4,97.85,99.92,36659,3.66e5,366.29,cm2016-02-02.005
P1\P2\UR4,0.00,0.00,1,9.99,0.01,cm2016-02-02.005
P1\P2\LR4,0.01,0.01,2,20,0.02,cm2016-02-02.005
P1\P2\LL5,0.05,0.05,19,190,0.19,cm2016-02-02.005
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-02.005
P1\P2\UR5,0.01,0.01,3,30,0.03,cm2016-02-02.005
P1\P2\LR5,97.87,99.94,36667,3.66e5,366.37,cm2016-02-02.005
cm2016-02-02.004,100.00,---,47717,4.78e5,477.67,cm2016-02-02.004
P1,99.44,99.44,47451,4.75e5,475.00,cm2016-02-02.004
P1\P2,98.12,98.67,46820,4.69e5,468.69,cm2016-02-02.004
P1\P2\LL3,0.02,0.02,8,80.1,0.08,cm2016-02-02.004
P1\P2\UL3,98.03,99.91,46779,4.68e5,468.28,cm2016-02-02.004
P1\P2\UR3,0.00,0.00,0,0,0.00,cm2016-02-02.004
P1\P2\LR3,0.07,0.07,33,330,0.33,cm2016-02-02.004
P1\P2\LL4,0.11,0.12,54,541,0.54,cm2016-02-02.004
P1\P2\UL4,98.01,99.88,46766,4.68e5,468.15,cm2016-02-02.004
P1\P2\UR4,0.00,0.00,0,0,0.00,cm2016-02-02.004
P1\P2\LR4,0.00,0.00,0,0,0.00,cm2016-02-02.004
P1\P2\LL5,0.09,0.09,41,410,0.41,cm2016-02-02.004
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-02.004
P1\P2\UR5,0.01,0.01,3,30,0.03,cm2016-02-02.004
P1\P2\LR5,98.03,99.91,46776,4.68e5,468.25,cm2016-02-02.004
