Path,name
P1\P2,cells
P1\P2\LL3,unstained
P1\P2\UL3,mCherry
P1\P2\UR3,mCherry/GFP
P1\P2\LR3,GFP
P1\P2\unstained,unstained
P1\P2\mCherry,mCherry
P1\P2\double-stained,double-stained
P1\P2\GFP,GFP
