Path,%-T,%-#,Count,Count/mL,Count/µL,file
cm2016-02-04.006,100.00,---,38997,3.9e5,390.38,cm2016-02-04.006
P1,99.12,99.12,38655,3.87e5,386.95,cm2016-02-04.006
P1\P2,97.75,98.61,38118,3.82e5,381.58,cm2016-02-04.006
P1\P2\LL3,6.17,6.31,2405,2.41e4,24.08,cm2016-02-04.006
P1\P2\UL3,61.02,62.43,23797,2.38e5,238.22,cm2016-02-04.006
P1\P2\UR3,0.20,0.21,79,791,0.79,cm2016-02-04.006
P1\P2\LR3,30.35,31.05,11837,1.18e5,118.49,cm2016-02-04.006
P1\P2\LL4,36.67,37.52,14300,1.43e5,143.15,cm2016-02-04.006
P1\P2\UL4,61.06,62.47,23813,2.38e5,238.38,cm2016-02-04.006
P1\P2\UR4,0.01,0.01,2,20,0.02,cm2016-02-04.006
P1\P2\LR4,0.01,0.01,3,30,0.03,cm2016-02-04.006
P1\P2\LL5,35.84,36.66,13975,1.4e5,139.90,cm2016-02-04.006
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-04.006
P1\P2\UR5,0.04,0.04,16,160,0.16,cm2016-02-04.006
P1\P2\LR5,61.87,63.30,24127,2.42e5,241.52,cm2016-02-04.006
cm2016-02-04.005,100.00,---,33868,3.39e5,339.03,cm2016-02-04.005
P1,98.67,98.67,33418,3.35e5,334.53,cm2016-02-04.005
P1\P2,97.36,98.67,32975,3.3e5,330.09,cm2016-02-04.005
P1\P2\LL3,0.15,0.16,52,521,0.52,cm2016-02-04.005
P1\P2\UL3,96.88,99.50,32811,3.28e5,328.45,cm2016-02-04.005
P1\P2\UR3,0.06,0.06,19,190,0.19,cm2016-02-04.005
P1\P2\LR3,0.27,0.28,93,931,0.93,cm2016-02-04.005
P1\P2\LL4,0.71,0.72,239,2.39e3,2.39,cm2016-02-04.005
P1\P2\UL4,96.57,99.19,32707,3.27e5,327.41,cm2016-02-04.005
P1\P2\UR4,0.05,0.05,18,180,0.18,cm2016-02-04.005
P1\P2\LR4,0.03,0.03,11,110,0.11,cm2016-02-04.005
P1\P2\LL5,0.38,0.39,129,1.29e3,1.29,cm2016-02-04.005
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-04.005
P1\P2\UR5,0.16,0.17,55,551,0.55,cm2016-02-04.005
P1\P2\LR5,96.82,99.44,32791,3.28e5,328.25,cm2016-02-04.005
cm2016-02-04.004,100.00,---,37960,3.8e5,380.00,cm2016-02-04.004
P1,98.70,98.70,37466,3.75e5,375.05,cm2016-02-04.004
P1\P2,97.24,98.52,36911,3.69e5,369.49,cm2016-02-04.004
P1\P2\LL3,0.07,0.07,26,260,0.26,cm2016-02-04.004
P1\P2\UL3,97.16,99.92,36881,3.69e5,369.19,cm2016-02-04.004
P1\P2\UR3,0.01,0.01,4,40,0.04,cm2016-02-04.004
P1\P2\LR3,0.00,0.00,0,0,0.00,cm2016-02-04.004
P1\P2\LL4,0.18,0.19,70,701,0.70,cm2016-02-04.004
P1\P2\UL4,97.02,99.78,36828,3.69e5,368.66,cm2016-02-04.004
P1\P2\UR4,0.02,0.02,9,90.1,0.09,cm2016-02-04.004
P1\P2\LR4,0.01,0.01,4,40,0.04,cm2016-02-04.004
P1\P2\LL5,0.04,0.04,16,160,0.16,cm2016-02-04.004
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-04.004
P1\P2\UR5,0.13,0.14,50,501,0.50,cm2016-02-04.004
P1\P2\LR5,97.06,99.82,36845,3.69e5,368.83,cm2016-02-04.004
cm2016-02-04.003,100.00,---,39139,3.92e5,391.80,cm2016-02-04.003
P1,99.32,99.32,38873,3.89e5,389.13,cm2016-02-04.003
P1\P2,98.21,98.88,38437,3.85e5,384.77,cm2016-02-04.003
P1\P2\LL3,0.02,0.02,8,80.1,0.08,cm2016-02-04.003
P1\P2\UL3,98.19,99.98,38429,3.85e5,384.69,cm2016-02-04.003
P1\P2\UR3,0.00,0.00,0,0,0.00,cm2016-02-04.003
P1\P2\LR3,0.00,0.00,0,0,0.00,cm2016-02-04.003
P1\P2\LL4,0.06,0.07,25,250,0.25,cm2016-02-04.003
P1\P2\UL4,98.14,99.93,38412,3.85e5,384.52,cm2016-02-04.003
P1\P2\UR4,0.00,0.00,0,0,0.00,cm2016-02-04.003
P1\P2\LR4,0.00,0.00,0,0,0.00,cm2016-02-04.003
P1\P2\LL5,0.01,0.01,5,50.1,0.05,cm2016-02-04.003
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-04.003
P1\P2\UR5,0.01,0.01,2,20,0.02,cm2016-02-04.003
P1\P2\LR5,98.19,99.98,38430,3.85e5,384.70,cm2016-02-04.003
cm2016-02-04.002,100.00,---,43884,4.39e5,439.30,cm2016-02-04.002
P1,99.02,99.02,43453,4.35e5,434.98,cm2016-02-04.002
P1\P2,97.70,98.67,42875,4.29e5,429.20,cm2016-02-04.002
P1\P2\LL3,0.06,0.06,26,260,0.26,cm2016-02-04.002
P1\P2\UL3,97.64,99.94,42849,4.29e5,428.94,cm2016-02-04.002
P1\P2\UR3,0.00,0.00,0,0,0.00,cm2016-02-04.002
P1\P2\LR3,0.00,0.00,0,0,0.00,cm2016-02-04.002
P1\P2\LL4,0.12,0.12,51,511,0.51,cm2016-02-04.002
P1\P2\UL4,97.58,99.88,42824,4.29e5,428.69,cm2016-02-04.002
P1\P2\UR4,0.00,0.00,0,0,0.00,cm2016-02-04.002
P1\P2\LR4,0.00,0.00,0,0,0.00,cm2016-02-04.002
P1\P2\LL5,0.05,0.05,21,210,0.21,cm2016-02-04.002
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-04.002
P1\P2\UR5,0.03,0.03,12,120,0.12,cm2016-02-04.002
P1\P2\LR5,97.63,99.92,42842,4.29e5,428.87,cm2016-02-04.002
cm2016-02-04.001,100.00,---,49271,4.93e5,493.22,cm2016-02-04.001
P1,99.31,99.31,48931,4.9e5,489.82,cm2016-02-04.001
P1\P2,97.96,98.64,48267,4.83e5,483.17,cm2016-02-04.001
P1\P2\LL3,3.84,3.92,1890,1.89e4,18.92,cm2016-02-04.001
P1\P2\UL3,62.13,63.42,30612,3.06e5,306.44,cm2016-02-04.001
P1\P2\UR3,0.17,0.18,86,861,0.86,cm2016-02-04.001
P1\P2\LR3,31.82,32.48,15679,1.57e5,156.95,cm2016-02-04.001
P1\P2\LL4,35.75,36.49,17612,1.76e5,176.30,cm2016-02-04.001
P1\P2\UL4,62.22,63.51,30655,3.07e5,306.87,cm2016-02-04.001
P1\P2\UR4,0.00,0.00,0,0,0.00,cm2016-02-04.001
P1\P2\LR4,0.00,0.00,0,0,0.00,cm2016-02-04.001
P1\P2\LL5,35.16,35.89,17322,1.73e5,173.40,cm2016-02-04.001
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-04.001
P1\P2\UR5,0.01,0.01,6,60.1,0.06,cm2016-02-04.001
P1\P2\LR5,62.79,64.10,30939,3.1e5,309.71,cm2016-02-04.001
