file,pool,treatment
live (cm2016-02-01.007),C,FOA
cm2016-02-01.006,B,FOA
cm2016-02-01.005,A,FOA
cm2016-02-01.004,C,ura
cm2016-02-01.003,B,ura
cm2016-02-01.002,A,ura
