Path,%-T,%-#,Count,Count/mL,Count/µL,file
live (cm2016-02-06.014),100.00,---,41368,4.14e5,414.11,live (cm2016-02-06.014)
P1,98.76,98.76,40853,4.09e5,408.96,live (cm2016-02-06.014)
P1\P2,97.30,98.53,40251,4.03e5,402.93,live (cm2016-02-06.014)
P1\P2\LL3,0.05,0.05,19,190,0.19,live (cm2016-02-06.014)
P1\P2\UL3,97.25,99.95,40232,4.03e5,402.74,live (cm2016-02-06.014)
P1\P2\UR3,0.00,0.00,0,0,0.00,live (cm2016-02-06.014)
P1\P2\LR3,0.00,0.00,0,0,0.00,live (cm2016-02-06.014)
P1\P2\LL4,0.24,0.25,101,1.01e3,1.01,live (cm2016-02-06.014)
P1\P2\UL4,97.06,99.75,40150,4.02e5,401.92,live (cm2016-02-06.014)
P1\P2\UR4,0.00,0.00,0,0,0.00,live (cm2016-02-06.014)
P1\P2\LR4,0.00,0.00,0,0,0.00,live (cm2016-02-06.014)
P1\P2\LL5,0.03,0.03,11,110,0.11,live (cm2016-02-06.014)
P1\P2\UL5,0.00,0.00,0,0,0.00,live (cm2016-02-06.014)
P1\P2\UR5,0.01,0.01,6,60.1,0.06,live (cm2016-02-06.014)
P1\P2\LR5,97.26,99.96,40234,4.03e5,402.76,live (cm2016-02-06.014)
cm2016-02-06.013,100.00,---,32855,3.29e5,328.89,cm2016-02-06.013
P1,99.02,99.02,32534,3.26e5,325.68,cm2016-02-06.013
P1\P2,97.83,98.80,32142,3.22e5,321.75,cm2016-02-06.013
P1\P2\LL3,0.02,0.02,7,70.1,0.07,cm2016-02-06.013
P1\P2\UL3,97.81,99.98,32135,3.22e5,321.68,cm2016-02-06.013
P1\P2\UR3,0.00,0.00,0,0,0.00,cm2016-02-06.013
P1\P2\LR3,0.00,0.00,0,0,0.00,cm2016-02-06.013
P1\P2\LL4,0.10,0.10,32,320,0.32,cm2016-02-06.013
P1\P2\UL4,97.73,99.90,32110,3.21e5,321.43,cm2016-02-06.013
P1\P2\UR4,0.00,0.00,0,0,0.00,cm2016-02-06.013
P1\P2\LR4,0.00,0.00,0,0,0.00,cm2016-02-06.013
P1\P2\LL5,0.01,0.01,4,40,0.04,cm2016-02-06.013
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-06.013
P1\P2\UR5,0.00,0.00,1,10,0.01,cm2016-02-06.013
P1\P2\LR5,97.81,99.98,32137,3.22e5,321.70,cm2016-02-06.013
cm2016-02-06.012,100.00,---,43458,4.35e5,435.03,cm2016-02-06.012
P1,98.78,98.78,42927,4.3e5,429.72,cm2016-02-06.012
P1\P2,97.20,98.40,42242,4.23e5,422.86,cm2016-02-06.012
P1\P2\LL3,16.69,17.17,7254,7.26e4,72.62,cm2016-02-06.012
P1\P2\UL3,44.94,46.24,19531,1.96e5,195.51,cm2016-02-06.012
P1\P2\UR3,0.20,0.21,88,881,0.88,cm2016-02-06.012
P1\P2\LR3,35.37,36.38,15369,1.54e5,153.85,cm2016-02-06.012
P1\P2\LL4,52.53,54.04,22829,2.29e5,228.53,cm2016-02-06.012
P1\P2\UL4,44.67,45.96,19413,1.94e5,194.33,cm2016-02-06.012
P1\P2\UR4,0.00,0.00,0,0,0.00,cm2016-02-06.012
P1\P2\LR4,0.00,0.00,0,0,0.00,cm2016-02-06.012
P1\P2\LL5,50.39,51.84,21900,2.19e5,219.23,cm2016-02-06.012
P1\P2\UL5,0.00,0.00,1,10,0.01,cm2016-02-06.012
P1\P2\UR5,0.02,0.02,7,70.1,0.07,cm2016-02-06.012
P1\P2\LR5,46.79,48.14,20334,2.04e5,203.55,cm2016-02-06.012
cm2016-02-06.011,100.00,---,34705,3.47e5,347.41,cm2016-02-06.011
P1,99.10,99.10,34394,3.44e5,344.30,cm2016-02-06.011
P1\P2,98.02,98.90,34017,3.41e5,340.52,cm2016-02-06.011
P1\P2\LL3,0.03,0.04,12,120,0.12,cm2016-02-06.011
P1\P2\UL3,97.98,99.96,34005,3.4e5,340.40,cm2016-02-06.011
P1\P2\UR3,0.00,0.00,0,0,0.00,cm2016-02-06.011
P1\P2\LR3,0.00,0.00,0,0,0.00,cm2016-02-06.011
P1\P2\LL4,0.12,0.12,42,420,0.42,cm2016-02-06.011
P1\P2\UL4,97.90,99.88,33975,3.4e5,340.10,cm2016-02-06.011
P1\P2\UR4,0.00,0.00,0,0,0.00,cm2016-02-06.011
P1\P2\LR4,0.00,0.00,0,0,0.00,cm2016-02-06.011
P1\P2\LL5,0.02,0.02,8,80.1,0.08,cm2016-02-06.011
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-06.011
P1\P2\UR5,0.00,0.00,1,10,0.01,cm2016-02-06.011
P1\P2\LR5,97.99,99.97,34008,3.4e5,340.43,cm2016-02-06.011
cm2016-02-06.010,100.00,---,34285,3.43e5,343.21,cm2016-02-06.010
P1,98.88,98.88,33902,3.39e5,339.37,cm2016-02-06.010
P1\P2,97.61,98.71,33466,3.35e5,335.01,cm2016-02-06.010
P1\P2\LL3,0.05,0.05,16,160,0.16,cm2016-02-06.010
P1\P2\UL3,97.56,99.95,33450,3.35e5,334.85,cm2016-02-06.010
P1\P2\UR3,0.00,0.00,0,0,0.00,cm2016-02-06.010
P1\P2\LR3,0.00,0.00,0,0,0.00,cm2016-02-06.010
P1\P2\LL4,0.25,0.25,85,851,0.85,cm2016-02-06.010
P1\P2\UL4,97.36,99.75,33381,3.34e5,334.16,cm2016-02-06.010
P1\P2\UR4,0.00,0.00,0,0,0.00,cm2016-02-06.010
P1\P2\LR4,0.00,0.00,0,0,0.00,cm2016-02-06.010
P1\P2\LL5,0.03,0.03,10,100,0.10,cm2016-02-06.010
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-06.010
P1\P2\UR5,0.00,0.00,1,10,0.01,cm2016-02-06.010
P1\P2\LR5,97.58,99.97,33455,3.35e5,334.90,cm2016-02-06.010
cm2016-02-06.009,100.00,---,34502,3.45e5,344.73,cm2016-02-06.009
P1,98.86,98.86,34110,3.41e5,340.82,cm2016-02-06.009
P1\P2,97.49,98.61,33636,3.36e5,336.08,cm2016-02-06.009
P1\P2\LL3,10.16,10.42,3505,3.5e4,35.02,cm2016-02-06.009
P1\P2\UL3,53.92,55.31,18603,1.86e5,185.88,cm2016-02-06.009
P1\P2\UR3,0.18,0.18,62,619,0.62,cm2016-02-06.009
P1\P2\LR3,33.23,34.09,11466,1.15e5,114.56,cm2016-02-06.009
P1\P2\LL4,43.79,44.92,15109,1.51e5,150.96,cm2016-02-06.009
P1\P2\UL4,53.69,55.07,18525,1.85e5,185.10,cm2016-02-06.009
P1\P2\UR4,0.00,0.00,1,9.99,0.01,cm2016-02-06.009
