file,pool,treatment
cm2016-02-04.024,C,ura
cm2016-02-04.023,B,ura
cm2016-02-04.022,A,ura
cm2016-02-04.021,C,FOA
cm2016-02-04.020,B,FOA
cm2016-02-04.019,A,FOA
