Path,%-T,%-#,Count,Count/mL,Count/µL,file
live (cm2016-01-31.010),100.00,---,71686,7.18e5,717.61,live (cm2016-01-31.010)
P1,99.46,99.46,71302,7.14e5,713.76,live (cm2016-01-31.010)
P1\P2,97.15,97.68,69646,6.97e5,697.19,live (cm2016-01-31.010)
P1\P2\LL3,11.03,11.35,7905,7.91e4,79.13,live (cm2016-01-31.010)
P1\P2\UL3,51.06,52.56,36603,3.66e5,366.41,live (cm2016-01-31.010)
P1\P2\UR3,0.17,0.17,120,1.2e3,1.20,live (cm2016-01-31.010)
P1\P2\LR3,34.90,35.92,25018,2.5e5,250.44,live (cm2016-01-31.010)
P1\P2\LL4,45.99,47.33,32965,3.3e5,329.99,live (cm2016-01-31.010)
P1\P2\UL4,51.17,52.67,36681,3.67e5,367.19,live (cm2016-01-31.010)
P1\P2\UR4,0.00,0.00,0,0,0.00,live (cm2016-01-31.010)
P1\P2\LR4,0.00,0.00,0,0,0.00,live (cm2016-01-31.010)
P1\P2\LL5,45.70,47.04,32761,3.28e5,327.95,live (cm2016-01-31.010)
P1\P2\UL5,0.00,0.00,1,10,0.01,live (cm2016-01-31.010)
P1\P2\UR5,0.01,0.01,4,40,0.04,live (cm2016-01-31.010)
P1\P2\LR5,51.45,52.95,36880,3.69e5,369.18,live (cm2016-01-31.010)
cm2016-01-31.009,100.00,---,73416,7.35e5,734.92,cm2016-01-31.009
P1,99.66,99.66,73163,7.32e5,732.39,cm2016-01-31.009
P1\P2,97.43,97.77,71531,7.16e5,716.05,cm2016-01-31.009
P1\P2\LL3,10.13,10.39,7435,7.44e4,74.43,cm2016-01-31.009
P1\P2\UL3,50.89,52.23,37363,3.74e5,374.02,cm2016-01-31.009
P1\P2\UR3,0.16,0.16,118,1.18e3,1.18,cm2016-01-31.009
P1\P2\LR3,36.25,37.21,26615,2.66e5,266.43,cm2016-01-31.009
P1\P2\LL4,46.46,47.68,34107,3.41e5,341.43,cm2016-01-31.009
P1\P2\UL4,50.97,52.32,37423,3.75e5,374.62,cm2016-01-31.009
P1\P2\UR4,0.00,0.00,1,10,0.01,cm2016-01-31.009
P1\P2\LR4,0.00,0.00,0,0,0.00,cm2016-01-31.009
P1\P2\LL5,46.09,47.31,33838,3.39e5,338.73,cm2016-01-31.009
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-01-31.009
P1\P2\UR5,0.01,0.01,8,80.1,0.08,cm2016-01-31.009
P1\P2\LR5,51.33,52.68,37685,3.77e5,377.24,cm2016-01-31.009
cm2016-01-31.008,100.00,---,69494,6.96e5,695.66,cm2016-01-31.008
P1,99.54,99.54,69173,6.92e5,692.45,cm2016-01-31.008
P1\P2,97.23,97.69,67572,6.76e5,676.42,cm2016-01-31.008
P1\P2\LL3,4.31,4.43,2992,3e4,29.95,cm2016-01-31.008
P1\P2\UL3,48.74,50.12,33869,3.39e5,339.04,cm2016-01-31.008
P1\P2\UR3,0.15,0.15,101,1.01e3,1.01,cm2016-01-31.008
P1\P2\LR3,44.05,45.30,30610,3.06e5,306.42,cm2016-01-31.008
P1\P2\LL4,48.39,49.76,33626,3.37e5,336.61,cm2016-01-31.008
P1\P2\UL4,48.85,50.24,33945,3.4e5,339.80,cm2016-01-31.008
P1\P2\UR4,0.00,0.00,1,10,0.01,cm2016-01-31.008
P1\P2\LR4,0.00,0.00,0,0,0.00,cm2016-01-31.008
P1\P2\LL5,48.25,49.62,33532,3.36e5,335.67,cm2016-01-31.008
P1\P2\UL5,0.00,0.00,3,30,0.03,cm2016-01-31.008
P1\P2\UR5,0.01,0.01,6,60.1,0.06,cm2016-01-31.008
P1\P2\LR5,48.97,50.36,34031,3.41e5,340.66,cm2016-01-31.008
