Path,%-T,%-#,Count,Count/mL,Count/µL,file
P1,98.76,98.76,37382,3.74e5,374.21,cm2016-02-06.018
P1\P2,97.42,98.64,36875,3.69e5,369.13,cm2016-02-06.018
P1\P2\LL3,13.57,13.93,5137,5.14e4,51.42,cm2016-02-06.018
P1\P2\UL3,52.69,54.09,19944,2e5,199.65,cm2016-02-06.018
P1\P2\UR3,0.19,0.20,73,731,0.73,cm2016-02-06.018
P1\P2\LR3,30.96,31.79,11721,1.17e5,117.33,cm2016-02-06.018
P1\P2\LL4,44.97,46.16,17021,1.7e5,170.39,cm2016-02-06.018
P1\P2\UL4,52.45,53.84,19853,1.99e5,198.74,cm2016-02-06.018
P1\P2\UR4,0.00,0.00,0,0,0.00,cm2016-02-06.018
P1\P2\LR4,0.00,0.00,1,10,0.01,cm2016-02-06.018
P1\P2\LL5,43.11,44.25,16319,1.63e5,163.36,cm2016-02-06.018
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-06.018
P1\P2\UR5,0.01,0.01,2,20,0.02,cm2016-02-06.018
P1\P2\LR5,54.30,55.74,20554,2.06e5,205.75,cm2016-02-06.018
cm2016-02-06.017,100.00,---,34106,3.41e5,341.42,cm2016-02-06.017
P1,98.85,98.85,33713,3.37e5,337.48,cm2016-02-06.017
P1\P2,97.72,98.86,33329,3.34e5,333.64,cm2016-02-06.017
P1\P2\LL3,0.04,0.04,12,120,0.12,cm2016-02-06.017
P1\P2\UL3,97.68,99.96,33316,3.34e5,333.51,cm2016-02-06.017
P1\P2\UR3,0.00,0.00,1,10,0.01,cm2016-02-06.017
P1\P2\LR3,0.00,0.00,0,0,0.00,cm2016-02-06.017
P1\P2\LL4,0.18,0.18,61,611,0.61,cm2016-02-06.017
P1\P2\UL4,97.54,99.81,33267,3.33e5,333.02,cm2016-02-06.017
P1\P2\UR4,0.00,0.00,1,10,0.01,cm2016-02-06.017
P1\P2\LR4,0.00,0.00,0,0,0.00,cm2016-02-06.017
P1\P2\LL5,0.02,0.02,7,70.1,0.07,cm2016-02-06.017
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-06.017
P1\P2\UR5,0.01,0.02,5,50.1,0.05,cm2016-02-06.017
P1\P2\LR5,97.69,99.96,33317,3.34e5,333.52,cm2016-02-06.017
cm2016-02-06.016,100.00,---,30955,3.1e5,309.87,cm2016-02-06.016
P1,98.93,98.93,30625,3.07e5,306.57,cm2016-02-06.016
P1\P2,97.86,98.91,30292,3.03e5,303.24,cm2016-02-06.016
P1\P2\LL3,0.04,0.04,13,130,0.13,cm2016-02-06.016
P1\P2\UL3,97.69,99.83,30241,3.03e5,302.72,cm2016-02-06.016
P1\P2\UR3,0.00,0.00,1,10,0.01,cm2016-02-06.016
P1\P2\LR3,0.12,0.12,37,370,0.37,cm2016-02-06.016
P1\P2\LL4,0.31,0.31,95,951,0.95,cm2016-02-06.016
P1\P2\UL4,97.55,99.69,30197,3.02e5,302.28,cm2016-02-06.016
P1\P2\UR4,0.00,0.00,0,0,0.00,cm2016-02-06.016
P1\P2\LR4,0.00,0.00,0,0,0.00,cm2016-02-06.016
P1\P2\LL5,0.14,0.14,43,430,0.43,cm2016-02-06.016
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-06.016
P1\P2\UR5,0.02,0.02,6,60.1,0.06,cm2016-02-06.016
P1\P2\LR5,97.70,99.84,30243,3.03e5,302.74,cm2016-02-06.016
cm2016-02-06.015,100.00,---,36020,3.61e5,360.58,cm2016-02-06.015
P1,98.93,98.93,35633,3.57e5,356.70,cm2016-02-06.015
P1\P2,97.63,98.70,35168,3.52e5,352.05,cm2016-02-06.015
P1\P2\LL3,6.14,6.28,2210,2.21e4,22.12,cm2016-02-06.015
P1\P2\UL3,44.29,45.36,15953,1.6e5,159.70,cm2016-02-06.015
P1\P2\UR3,0.25,0.25,89,891,0.89,cm2016-02-06.015
P1\P2\LR3,46.96,48.10,16916,1.69e5,169.34,cm2016-02-06.015
P1\P2\LL4,53.44,54.74,19250,1.93e5,192.70,cm2016-02-06.015
P1\P2\UL4,44.19,45.26,15918,1.59e5,159.35,cm2016-02-06.015
P1\P2\UR4,0.00,0.00,0,0,0.00,cm2016-02-06.015
P1\P2\LR4,0.00,0.00,0,0,0.00,cm2016-02-06.015
P1\P2\LL5,52.02,53.28,18738,1.88e5,187.58,cm2016-02-06.015
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-06.015
P1\P2\UR5,0.01,0.01,3,30,0.03,cm2016-02-06.015
P1\P2\LR5,45.61,46.71,16427,1.64e5,164.44,cm2016-02-06.015
