Path,%-T,%-#,Count,Count/mL,Count/µL,file
live (cm2016-02-06.020),100.00,---,50101,5.02e5,501.53,live (cm2016-02-06.020)
P1,98.92,98.92,49561,4.96e5,496.13,live (cm2016-02-06.020)
P1\P2,97.19,98.25,48693,4.87e5,487.44,live (cm2016-02-06.020)
P1\P2\LL3,0.03,0.03,16,160,0.16,live (cm2016-02-06.020)
P1\P2\UL3,97.16,99.97,48677,4.87e5,487.28,live (cm2016-02-06.020)
P1\P2\UR3,0.00,0.00,0,0,0.00,live (cm2016-02-06.020)
P1\P2\LR3,0.00,0.00,0,0,0.00,live (cm2016-02-06.020)
P1\P2\LL4,0.15,0.15,75,751,0.75,live (cm2016-02-06.020)
P1\P2\UL4,97.04,99.84,48617,4.87e5,486.68,live (cm2016-02-06.020)
P1\P2\UR4,0.00,0.00,0,0,0.00,live (cm2016-02-06.020)
P1\P2\LR4,0.00,0.00,1,10,0.01,live (cm2016-02-06.020)
P1\P2\LL5,0.02,0.02,10,100,0.10,live (cm2016-02-06.020)
P1\P2\UL5,0.00,0.00,0,0,0.00,live (cm2016-02-06.020)
P1\P2\UR5,0.00,0.00,2,20,0.02,live (cm2016-02-06.020)
P1\P2\LR5,97.17,99.98,48681,4.87e5,487.32,live (cm2016-02-06.020)
cm2016-02-06.019,100.00,---,40791,4.08e5,408.33,cm2016-02-06.019
P1,98.70,98.70,40259,4.03e5,403.01,cm2016-02-06.019
P1\P2,97.27,98.55,39676,3.97e5,397.17,cm2016-02-06.019
P1\P2\LL3,0.03,0.03,12,120,0.12,cm2016-02-06.019
P1\P2\UL3,97.23,99.97,39663,3.97e5,397.04,cm2016-02-06.019
P1\P2\UR3,0.00,0.00,0,0,0.00,cm2016-02-06.019
P1\P2\LR3,0.00,0.00,1,10,0.01,cm2016-02-06.019
P1\P2\LL4,0.25,0.25,100,1e3,1.00,cm2016-02-06.019
P1\P2\UL4,97.02,99.75,39575,3.96e5,396.16,cm2016-02-06.019
P1\P2\UR4,0.00,0.00,1,10,0.01,cm2016-02-06.019
P1\P2\LR4,0.00,0.00,0,0,0.00,cm2016-02-06.019
P1\P2\LL5,0.02,0.02,9,90.1,0.09,cm2016-02-06.019
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-06.019
P1\P2\UR5,0.00,0.01,2,20,0.02,cm2016-02-06.019
P1\P2\LR5,97.24,99.97,39665,3.97e5,397.06,cm2016-02-06.019
cm2016-02-06.018,100.00,---,37853,3.79e5,378.92,cm2016-02-06.018
