Path,%-T,%-#,Count,Count/mL,Count/µL,file
live (cm2016-02-02.015),100.00,---,38254,3.82e5,382.22,live (cm2016-02-02.015)
P1,99.32,99.32,37992,3.8e5,379.60,live (cm2016-02-02.015)
P1\P2,98.32,99.00,37612,3.76e5,375.81,live (cm2016-02-02.015)
P1\P2\LL3,0.02,0.02,6,60,0.06,live (cm2016-02-02.015)
P1\P2\UL3,98.30,99.98,37605,3.76e5,375.74,live (cm2016-02-02.015)
P1\P2\UR3,0.00,0.00,1,9.99,0.01,live (cm2016-02-02.015)
P1\P2\LR3,0.00,0.00,0,0,0.00,live (cm2016-02-02.015)
P1\P2\LL4,0.02,0.02,8,79.9,0.08,live (cm2016-02-02.015)
P1\P2\UL4,98.30,99.98,37604,3.76e5,375.73,live (cm2016-02-02.015)
P1\P2\UR4,0.00,0.00,0,0,0.00,live (cm2016-02-02.015)
P1\P2\LR4,0.00,0.00,0,0,0.00,live (cm2016-02-02.015)
P1\P2\LL5,0.02,0.02,6,60,0.06,live (cm2016-02-02.015)
P1\P2\UL5,0.00,0.00,0,0,0.00,live (cm2016-02-02.015)
P1\P2\UR5,0.00,0.00,1,9.99,0.01,live (cm2016-02-02.015)
P1\P2\LR5,98.30,99.98,37605,3.76e5,375.74,live (cm2016-02-02.015)
cm2016-02-02.014,100.00,---,41746,4.18e5,417.89,cm2016-02-02.014
P1,99.38,99.38,41486,4.15e5,415.29,cm2016-02-02.014
P1\P2,98.28,98.90,41028,4.11e5,410.71,cm2016-02-02.014
P1\P2\LL3,13.92,14.16,5809,5.82e4,58.15,cm2016-02-02.014
P1\P2\UL3,3.68,3.74,1536,1.54e4,15.38,cm2016-02-02.014
P1\P2\UR3,0.02,0.02,9,90.1,0.09,cm2016-02-02.014
P1\P2\LR3,80.66,82.08,33674,3.37e5,337.09,cm2016-02-02.014
P1\P2\LL4,94.61,96.26,39494,3.95e5,395.35,cm2016-02-02.014
P1\P2\UL4,3.67,3.74,1533,1.53e4,15.35,cm2016-02-02.014
P1\P2\UR4,0.00,0.00,0,0,0.00,cm2016-02-02.014
P1\P2\LR4,0.00,0.00,1,10,0.01,cm2016-02-02.014
P1\P2\LL5,93.53,95.17,39046,3.91e5,390.87,cm2016-02-02.014
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-02.014
P1\P2\UR5,0.00,0.00,1,10,0.01,cm2016-02-02.014
P1\P2\LR5,4.75,4.83,1981,1.98e4,19.83,cm2016-02-02.014
cm2016-02-02.013,100.00,---,37713,3.78e5,377.52,cm2016-02-02.013
P1,99.29,99.29,37444,3.75e5,374.83,cm2016-02-02.013
P1\P2,98.13,98.84,37008,3.7e5,370.47,cm2016-02-02.013
P1\P2\LL3,5.32,5.42,2006,2.01e4,20.08,cm2016-02-02.013
P1\P2\UL3,41.20,41.98,15537,1.56e5,155.53,cm2016-02-02.013
P1\P2\UR3,0.12,0.12,45,450,0.45,cm2016-02-02.013
P1\P2\LR3,51.49,52.48,19420,1.94e5,194.40,cm2016-02-02.013
P1\P2\LL4,56.85,57.93,21438,2.15e5,214.60,cm2016-02-02.013
P1\P2\UL4,41.29,42.07,15570,1.56e5,155.86,cm2016-02-02.013
P1\P2\UR4,0.00,0.00,0,0,0.00,cm2016-02-02.013
P1\P2\LR4,0.00,0.00,0,0,0.00,cm2016-02-02.013
P1\P2\LL5,56.31,57.38,21236,2.13e5,212.58,cm2016-02-02.013
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-02.013
P1\P2\UR5,0.01,0.01,3,30,0.03,cm2016-02-02.013
P1\P2\LR5,41.81,42.61,15769,1.58e5,157.85,cm2016-02-02.013
cm2016-02-02.012,100.00,---,78341,7.84e5,784.23,cm2016-02-02.012
P1,98.96,98.96,77523,7.76e5,776.04,cm2016-02-02.012
P1\P2,96.77,97.79,75813,7.59e5,758.92,cm2016-02-02.012
P1\P2\LL3,28.61,29.56,22412,2.24e5,224.35,cm2016-02-02.012
P1\P2\UL3,14.45,14.93,11320,1.13e5,113.32,cm2016-02-02.012
P1\P2\UR3,0.09,0.09,68,681,0.68,cm2016-02-02.012
P1\P2\LR3,53.63,55.42,42013,4.21e5,420.57,cm2016-02-02.012
P1\P2\LL4,82.30,85.04,64472,6.45e5,645.39,cm2016-02-02.012
P1\P2\UL4,14.48,14.96,11341,1.14e5,113.53,cm2016-02-02.012
P1\P2\UR4,0.00,0.00,0,0,0.00,cm2016-02-02.012
P1\P2\LR4,0.00,0.00,0,0,0.00,cm2016-02-02.012
P1\P2\LL5,82.01,84.75,64249,6.43e5,643.16,cm2016-02-02.012
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-02.012
P1\P2\UR5,0.00,0.00,1,10,0.01,cm2016-02-02.012
P1\P2\LR5,14.76,15.25,11563,1.16e5,115.75,cm2016-02-02.012
cm2016-02-02.011,100.00,---,44048,4.4e5,440.11,cm2016-02-02.011
P1,99.50,99.50,43827,4.38e5,437.91,cm2016-02-02.011
P1\P2,98.12,98.62,43221,4.32e5,431.85,cm2016-02-02.011
P1\P2\LL3,0.01,0.01,4,40,0.04,cm2016-02-02.011
P1\P2\UL3,98.11,99.98,43214,4.32e5,431.78,cm2016-02-02.011
P1\P2\UR3,0.00,0.00,2,20,0.02,cm2016-02-02.011
P1\P2\LR3,0.00,0.00,1,9.99,0.01,cm2016-02-02.011
P1\P2\LL4,0.04,0.04,19,190,0.19,cm2016-02-02.011
P1\P2\UL4,98.07,99.95,43200,4.32e5,431.64,cm2016-02-02.011
P1\P2\UR4,0.00,0.00,2,20,0.02,cm2016-02-02.011
P1\P2\LR4,0.00,0.00,0,0,0.00,cm2016-02-02.011
P1\P2\LL5,0.01,0.01,3,30,0.03,cm2016-02-02.011
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-02.011
P1\P2\UR5,0.01,0.01,4,40,0.04,cm2016-02-02.011
P1\P2\LR5,98.11,99.98,43214,4.32e5,431.78,cm2016-02-02.011
cm2016-02-02.010,100.00,---,42620,4.26e5,425.85,cm2016-02-02.010
P1,99.44,99.44,42383,4.23e5,423.48,cm2016-02-02.010
