Path,%-T,%-#,Count,Count/mL,Count/µL,file
P1\P2,98.28,98.83,41888,4.19e5,418.53,cm2016-02-02.010
P1\P2\LL3,3.20,3.26,1364,1.36e4,13.63,cm2016-02-02.010
P1\P2\UL3,49.96,50.84,21295,2.13e5,212.77,cm2016-02-02.010
P1\P2\UR3,0.14,0.14,59,590,0.59,cm2016-02-02.010
P1\P2\LR3,44.98,45.76,19170,1.92e5,191.54,cm2016-02-02.010
P1\P2\LL4,48.21,49.06,20549,2.05e5,205.32,cm2016-02-02.010
P1\P2\UL4,50.07,50.94,21339,2.13e5,213.21,cm2016-02-02.010
P1\P2\UR4,0.00,0.00,0,0,0.00,cm2016-02-02.010
P1\P2\LR4,0.00,0.00,0,0,0.00,cm2016-02-02.010
P1\P2\LL5,47.56,48.39,20269,2.03e5,202.52,cm2016-02-02.010
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-02.010
P1\P2\UR5,0.00,0.00,1,9.99,0.01,cm2016-02-02.010
P1\P2\LR5,50.72,51.61,21618,2.16e5,216.00,cm2016-02-02.010
