file,pool,treatment
live (cm2016-02-06.014),C,FOA
cm2016-02-06.013,B,FOA
cm2016-02-06.012,A,FOA
cm2016-02-06.011,C,ura
cm2016-02-06.010,B,ura
cm2016-02-06.009,A,ura
