"","gate","media","estradiol","group_name","postselection","preselection"
"1","GFP","SC",0,"mCherry-vs-GFP",911000,20700
"2","GFP","SC",0,"vs-URA3",1450000,18100
"3","GFP","SC",0,"vs-ura3",673000,20400
"4","GFP","SC",1,"mCherry-vs-GFP",1450000,22400
"5","GFP","SC",1,"vs-URA3",1100000,14700
"6","GFP","SC",1,"vs-ura3",679000,20600
"7","GFP","SC+5FOA",0,"mCherry-vs-GFP",951000,21000
"8","GFP","SC+5FOA",0,"vs-URA3",701,14000
"9","GFP","SC+5FOA",0,"vs-ura3",1760000,18600
"10","GFP","SC+5FOA",1,"mCherry-vs-GFP",812,20700
"11","GFP","SC+5FOA",1,"vs-URA3",536,15300
"12","GFP","SC+5FOA",1,"vs-ura3",2280000,17200
"13","GFP","SC-ura",0,"mCherry-vs-GFP",444,23600
"14","GFP","SC-ura",0,"vs-URA3",2670000,16700
"15","GFP","SC-ura",0,"vs-ura3",645,17700
"16","GFP","SC-ura",1,"mCherry-vs-GFP",1530000,20200
"17","GFP","SC-ura",1,"vs-URA3",1220000,14500
"18","GFP","SC-ura",1,"vs-ura3",329,18400
"19","LL4","SC",0,"mCherry-vs-GFP",916000,NA
"20","LL4","SC",0,"vs-URA3",1460000,NA
"21","LL4","SC",0,"vs-ura3",677000,NA
"22","LL4","SC",1,"mCherry-vs-GFP",1450000,NA
"23","LL4","SC",1,"vs-URA3",1110000,NA
"24","LL4","SC",1,"vs-ura3",685000,NA
"25","LL4","SC+5FOA",0,"mCherry-vs-GFP",954000,NA
"26","LL4","SC+5FOA",0,"vs-URA3",857,NA
"27","LL4","SC+5FOA",0,"vs-ura3",1770000,NA
"28","LL4","SC+5FOA",1,"mCherry-vs-GFP",1000,NA
"29","LL4","SC+5FOA",1,"vs-URA3",618,NA
"30","LL4","SC+5FOA",1,"vs-ura3",2290000,NA
"31","LL4","SC-ura",0,"mCherry-vs-GFP",465,NA
"32","LL4","SC-ura",0,"vs-URA3",2670000,NA
"33","LL4","SC-ura",0,"vs-ura3",725,NA
"34","LL4","SC-ura",1,"mCherry-vs-GFP",1550000,NA
"35","LL4","SC-ura",1,"vs-URA3",1230000,NA
"36","LL4","SC-ura",1,"vs-ura3",329,NA
"37","LL5","SC",0,"mCherry-vs-GFP",908000,NA
"38","LL5","SC",0,"vs-URA3",1450000,NA
"39","LL5","SC",0,"vs-ura3",670000,NA
"40","LL5","SC",1,"mCherry-vs-GFP",1440000,NA
"41","LL5","SC",1,"vs-URA3",1100000,NA
"42","LL5","SC",1,"vs-ura3",677000,NA
"43","LL5","SC+5FOA",0,"mCherry-vs-GFP",951000,NA
"44","LL5","SC+5FOA",0,"vs-URA3",857,NA
"45","LL5","SC+5FOA",0,"vs-ura3",1770000,NA
"46","LL5","SC+5FOA",1,"mCherry-vs-GFP",1000,NA
"47","LL5","SC+5FOA",1,"vs-URA3",618,NA
"48","LL5","SC+5FOA",1,"vs-ura3",2290000,NA
"49","LL5","SC-ura",0,"mCherry-vs-GFP",465,NA
"50","LL5","SC-ura",0,"vs-URA3",2670000,NA
"51","LL5","SC-ura",0,"vs-ura3",665,NA
"52","LL5","SC-ura",1,"mCherry-vs-GFP",1530000,NA
"53","LL5","SC-ura",1,"vs-URA3",1220000,NA
"54","LL5","SC-ura",1,"vs-ura3",329,NA
"55","LR4","SC",0,"mCherry-vs-GFP",0,NA
"56","LR4","SC",0,"vs-URA3",0,NA
"57","LR4","SC",0,"vs-ura3",0,NA
"58","LR4","SC",1,"mCherry-vs-GFP",0,NA
"59","LR4","SC",1,"vs-URA3",0,NA
"60","LR4","SC",1,"vs-ura3",0,NA
"61","LR4","SC+5FOA",0,"mCherry-vs-GFP",0,NA
"62","LR4","SC+5FOA",0,"vs-URA3",0,NA
"63","LR4","SC+5FOA",0,"vs-ura3",0,NA
"64","LR4","SC+5FOA",1,"mCherry-vs-GFP",0,NA
"65","LR4","SC+5FOA",1,"vs-URA3",0,NA
"66","LR4","SC+5FOA",1,"vs-ura3",0,NA
"67","LR4","SC-ura",0,"mCherry-vs-GFP",0,NA
"68","LR4","SC-ura",0,"vs-URA3",0,NA
"69","LR4","SC-ura",0,"vs-ura3",0,NA
"70","LR4","SC-ura",1,"mCherry-vs-GFP",0,NA
"71","LR4","SC-ura",1,"vs-URA3",0,NA
"72","LR4","SC-ura",1,"vs-ura3",0,NA
"73","LR5","SC",0,"mCherry-vs-GFP",867000,NA
"74","LR5","SC",0,"vs-URA3",886000,NA
"75","LR5","SC",0,"vs-ura3",883000,NA
"76","LR5","SC",1,"mCherry-vs-GFP",1330000,NA
"77","LR5","SC",1,"vs-URA3",1770000,NA
"78","LR5","SC",1,"vs-ura3",1950000,NA
"79","LR5","SC+5FOA",0,"mCherry-vs-GFP",835000,NA
"80","LR5","SC+5FOA",0,"vs-URA3",1490000,NA
"81","LR5","SC+5FOA",0,"vs-ura3",439000,NA
"82","LR5","SC+5FOA",1,"mCherry-vs-GFP",750,NA
"83","LR5","SC+5FOA",1,"vs-URA3",783,NA
"84","LR5","SC+5FOA",1,"vs-ura3",3290,NA
"85","LR5","SC-ura",0,"mCherry-vs-GFP",529,NA
"86","LR5","SC-ura",0,"vs-URA3",5030,NA
"87","LR5","SC-ura",0,"vs-ura3",927,NA
"88","LR5","SC-ura",1,"mCherry-vs-GFP",1370000,NA
"89","LR5","SC-ura",1,"vs-URA3",1600000,NA
"90","LR5","SC-ura",1,"vs-ura3",3030000,NA
"91","P1","SC",0,"mCherry-vs-GFP",1850000,NA
"92","P1","SC",0,"vs-URA3",2490000,NA
"93","P1","SC",0,"vs-ura3",1610000,NA
"94","P1","SC",1,"mCherry-vs-GFP",2970000,NA
"95","P1","SC",1,"vs-URA3",3100000,NA
"96","P1","SC",1,"vs-ura3",2790000,NA
"97","P1","SC+5FOA",0,"mCherry-vs-GFP",1860000,NA
"98","P1","SC+5FOA",0,"vs-URA3",1550000,NA
"99","P1","SC+5FOA",0,"vs-ura3",2330000,NA
"100","P1","SC+5FOA",1,"mCherry-vs-GFP",1790,NA
"101","P1","SC+5FOA",1,"vs-URA3",1400,NA
"102","P1","SC+5FOA",1,"vs-ura3",2430000,NA
"103","P1","SC-ura",0,"mCherry-vs-GFP",1010,NA
"104","P1","SC-ura",0,"vs-URA3",2870000,NA
"105","P1","SC-ura",0,"vs-ura3",1690,NA
"106","P1","SC-ura",1,"mCherry-vs-GFP",3130000,NA
"107","P1","SC-ura",1,"vs-URA3",3020000,NA
"108","P1","SC-ura",1,"vs-ura3",3280000,NA
"109","P2","SC",0,"mCherry-vs-GFP",1770000,NA
"110","P2","SC",0,"vs-URA3",2330000,NA
"111","P2","SC",0,"vs-ura3",1550000,NA
"112","P2","SC",1,"mCherry-vs-GFP",2770000,NA
"113","P2","SC",1,"vs-URA3",2860000,NA
"114","P2","SC",1,"vs-ura3",2630000,NA
"115","P2","SC+5FOA",0,"mCherry-vs-GFP",1790000,NA
"116","P2","SC+5FOA",0,"vs-URA3",1490000,NA
"117","P2","SC+5FOA",0,"vs-ura3",2210000,NA
"118","P2","SC+5FOA",1,"mCherry-vs-GFP",1750,NA
"119","P2","SC+5FOA",1,"vs-URA3",1400,NA
"120","P2","SC+5FOA",1,"vs-ura3",2290000,NA
"121","P2","SC-ura",0,"mCherry-vs-GFP",994,NA
"122","P2","SC-ura",0,"vs-URA3",2670000,NA
"123","P2","SC-ura",0,"vs-ura3",1670,NA
"124","P2","SC-ura",1,"mCherry-vs-GFP",2900000,NA
"125","P2","SC-ura",1,"vs-URA3",2820000,NA
"126","P2","SC-ura",1,"vs-ura3",3030000,NA
"127","UL4","SC",0,"mCherry-vs-GFP",858000,NA
"128","UL4","SC",0,"vs-URA3",872000,NA
"129","UL4","SC",0,"vs-ura3",876000,NA
"130","UL4","SC",1,"mCherry-vs-GFP",1320000,NA
"131","UL4","SC",1,"vs-URA3",1750000,NA
"132","UL4","SC",1,"vs-ura3",1940000,NA
"133","UL4","SC+5FOA",0,"mCherry-vs-GFP",832000,NA
"134","UL4","SC+5FOA",0,"vs-URA3",1490000,NA
"135","UL4","SC+5FOA",0,"vs-ura3",433000,NA
"136","UL4","SC+5FOA",1,"mCherry-vs-GFP",750,NA
"137","UL4","SC+5FOA",1,"vs-URA3",783,NA
"138","UL4","SC+5FOA",1,"vs-ura3",1830,NA
"139","UL4","SC-ura",0,"mCherry-vs-GFP",529,NA
"140","UL4","SC-ura",0,"vs-URA3",431,NA
"141","UL4","SC-ura",0,"vs-ura3",947,NA
"142","UL4","SC-ura",1,"mCherry-vs-GFP",1350000,NA
"143","UL4","SC-ura",1,"vs-URA3",1580000,NA
"144","UL4","SC-ura",1,"vs-ura3",3030000,NA
"145","UL5","SC",0,"mCherry-vs-GFP",93.2,NA
"146","UL5","SC",0,"vs-URA3",0,NA
"147","UL5","SC",0,"vs-ura3",0,NA
"148","UL5","SC",1,"mCherry-vs-GFP",0,NA
"149","UL5","SC",1,"vs-URA3",0,NA
"150","UL5","SC",1,"vs-ura3",0,NA
"151","UL5","SC+5FOA",0,"mCherry-vs-GFP",0,NA
"152","UL5","SC+5FOA",0,"vs-URA3",0,NA
"153","UL5","SC+5FOA",0,"vs-ura3",0,NA
"154","UL5","SC+5FOA",1,"mCherry-vs-GFP",0,NA
