"","gate","media","estradiol","group_name","postselection","preselection"
"155","UL5","SC+5FOA",1,"vs-URA3",0,NA
"156","UL5","SC+5FOA",1,"vs-ura3",731,NA
"157","UL5","SC-ura",0,"mCherry-vs-GFP",0,NA
"158","UL5","SC-ura",0,"vs-URA3",0,NA
"159","UL5","SC-ura",0,"vs-ura3",0,NA
"160","UL5","SC-ura",1,"mCherry-vs-GFP",0,NA
"161","UL5","SC-ura",1,"vs-URA3",0,NA
"162","UL5","SC-ura",1,"vs-ura3",0,NA
"163","UR4","SC",0,"mCherry-vs-GFP",0,NA
"164","UR4","SC",0,"vs-URA3",0,NA
"165","UR4","SC",0,"vs-ura3",0,NA
"166","UR4","SC",1,"mCherry-vs-GFP",0,NA
"167","UR4","SC",1,"vs-URA3",311,NA
"168","UR4","SC",1,"vs-ura3",0,NA
"169","UR4","SC+5FOA",0,"mCherry-vs-GFP",0,NA
"170","UR4","SC+5FOA",0,"vs-URA3",0,NA
"171","UR4","SC+5FOA",0,"vs-ura3",0,NA
"172","UR4","SC+5FOA",1,"mCherry-vs-GFP",0,NA
"173","UR4","SC+5FOA",1,"vs-URA3",0,NA
"174","UR4","SC+5FOA",1,"vs-ura3",0,NA
"175","UR4","SC-ura",0,"mCherry-vs-GFP",0,NA
"176","UR4","SC-ura",0,"vs-URA3",0,NA
"177","UR4","SC-ura",0,"vs-ura3",0,NA
"178","UR4","SC-ura",1,"mCherry-vs-GFP",0,NA
"179","UR4","SC-ura",1,"vs-URA3",0,NA
"180","UR4","SC-ura",1,"vs-ura3",0,NA
"181","UR5","SC",0,"mCherry-vs-GFP",0,NA
"182","UR5","SC",0,"vs-URA3",125,NA
"183","UR5","SC",0,"vs-ura3",488,NA
"184","UR5","SC",1,"mCherry-vs-GFP",0,NA
"185","UR5","SC",1,"vs-URA3",777,NA
"186","UR5","SC",1,"vs-ura3",0,NA
"187","UR5","SC+5FOA",0,"mCherry-vs-GFP",0,NA
"188","UR5","SC+5FOA",0,"vs-URA3",77.9,NA
"189","UR5","SC+5FOA",0,"vs-ura3",117,NA
"190","UR5","SC+5FOA",1,"mCherry-vs-GFP",0,NA
"191","UR5","SC+5FOA",1,"vs-URA3",0,NA
"192","UR5","SC+5FOA",1,"vs-ura3",244,NA
"193","UR5","SC-ura",0,"mCherry-vs-GFP",0,NA
"194","UR5","SC-ura",0,"vs-URA3",0,NA
"195","UR5","SC-ura",0,"vs-ura3",80.6,NA
"196","UR5","SC-ura",1,"mCherry-vs-GFP",0,NA
"197","UR5","SC-ura",1,"vs-URA3",0,NA
"198","UR5","SC-ura",1,"vs-ura3",329,NA
"199","cm2015-08-19.001","SC",1,"mCherry-vs-GFP",2970000,NA
"200","cm2015-08-19.002","SC-ura",1,"mCherry-vs-GFP",3140000,NA
"201","cm2015-08-19.003","SC+5FOA",1,"mCherry-vs-GFP",12600,NA
"202","cm2015-08-19.004","SC",0,"mCherry-vs-GFP",1860000,NA
"203","cm2015-08-19.005","SC-ura",0,"mCherry-vs-GFP",11700,NA
"204","cm2015-08-19.006","SC+5FOA",0,"mCherry-vs-GFP",1870000,NA
"205","cm2015-08-19.007","SC",1,"vs-ura3",2800000,NA
"206","cm2015-08-19.008","SC-ura",1,"vs-ura3",3290000,NA
"207","cm2015-08-19.009","SC+5FOA",1,"vs-ura3",2440000,NA
"208","cm2015-08-19.010","SC",0,"vs-ura3",1630000,NA
"209","cm2015-08-19.011","SC-ura",0,"vs-ura3",12100,NA
"210","cm2015-08-19.012","SC+5FOA",0,"vs-ura3",2340000,NA
"211","cm2015-08-19.013","SC",1,"vs-URA3",3110000,NA
"212","cm2015-08-19.014","SC-ura",1,"vs-URA3",3030000,NA
"213","cm2015-08-19.015","SC+5FOA",1,"vs-URA3",12000,NA
"214","cm2015-08-19.016","SC",0,"vs-URA3",2490000,NA
"215","cm2015-08-19.017","SC-ura",0,"vs-URA3",2870000,NA
"216","double","SC",0,"mCherry-vs-GFP",NA,40.2
"217","double","SC",0,"vs-URA3",NA,0
"218","double","SC",0,"vs-ura3",NA,40.2
"219","double","SC",1,"mCherry-vs-GFP",NA,88.5
"220","double","SC",1,"vs-URA3",NA,0
"221","double","SC",1,"vs-ura3",NA,43.2
"222","double","SC+5FOA",0,"mCherry-vs-GFP",NA,80.3
"223","double","SC+5FOA",0,"vs-URA3",NA,39.9
"224","double","SC+5FOA",0,"vs-ura3",NA,0
"225","double","SC+5FOA",1,"mCherry-vs-GFP",NA,86
"226","double","SC+5FOA",1,"vs-URA3",NA,43.2
"227","double","SC+5FOA",1,"vs-ura3",NA,0
"228","double","SC-ura",0,"mCherry-vs-GFP",NA,0
"229","double","SC-ura",0,"vs-URA3",NA,0
"230","double","SC-ura",0,"vs-ura3",NA,40.2
"231","double","SC-ura",1,"mCherry-vs-GFP",NA,40.4
"232","double","SC-ura",1,"vs-URA3",NA,40.2
"233","double","SC-ura",1,"vs-ura3",NA,0
"234","double-stained","SC",0,"mCherry-vs-GFP",13000,NA
"235","double-stained","SC",0,"vs-URA3",22600,NA
"236","double-stained","SC",0,"vs-ura3",11600,NA
"237","double-stained","SC",1,"mCherry-vs-GFP",39400,NA
"238","double-stained","SC",1,"vs-URA3",33100,NA
"239","double-stained","SC",1,"vs-ura3",25700,NA
"240","double-stained","SC+5FOA",0,"mCherry-vs-GFP",14000,NA
"241","double-stained","SC+5FOA",0,"vs-URA3",77.9,NA
"242","double-stained","SC+5FOA",0,"vs-ura3",18300,NA
"243","double-stained","SC+5FOA",1,"mCherry-vs-GFP",0,NA
"244","double-stained","SC+5FOA",1,"vs-URA3",0,NA
"245","double-stained","SC+5FOA",1,"vs-ura3",122,NA
"246","double-stained","SC-ura",0,"mCherry-vs-GFP",0,NA
"247","double-stained","SC-ura",0,"vs-URA3",144,NA
"248","double-stained","SC-ura",0,"vs-ura3",0,NA
"249","double-stained","SC-ura",1,"mCherry-vs-GFP",44200,NA
"250","double-stained","SC-ura",1,"vs-URA3",32900,NA
"251","double-stained","SC-ura",1,"vs-ura3",0,NA
"252","live (cm2015-08-19.018)","SC+5FOA",0,"vs-URA3",1560000,NA
"253","mCherry","SC",0,"mCherry-vs-GFP",847000,22600
"254","mCherry","SC",0,"vs-URA3",855000,21300
"255","mCherry","SC",0,"vs-ura3",867000,25900
"256","mCherry","SC",1,"mCherry-vs-GFP",1280000,21900
"257","mCherry","SC",1,"vs-URA3",1720000,18700
"258","mCherry","SC",1,"vs-ura3",1920000,23200
"259","mCherry","SC+5FOA",0,"mCherry-vs-GFP",819000,22700
"260","mCherry","SC+5FOA",0,"vs-URA3",1490000,21700
"261","mCherry","SC+5FOA",0,"vs-ura3",418000,20400
"262","mCherry","SC+5FOA",1,"mCherry-vs-GFP",750,21700
"263","mCherry","SC+5FOA",1,"vs-URA3",783,21800
"264","mCherry","SC+5FOA",1,"vs-ura3",1830,21000
"265","mCherry","SC-ura",0,"mCherry-vs-GFP",529,22500
"266","mCherry","SC-ura",0,"vs-URA3",431,24400
"267","mCherry","SC-ura",0,"vs-ura3",1010,24500
"268","mCherry","SC-ura",1,"mCherry-vs-GFP",1320000,22600
"269","mCherry","SC-ura",1,"vs-URA3",1560000,20800
"270","mCherry","SC-ura",1,"vs-ura3",3030000,22400
"271","unstained","SC",0,"mCherry-vs-GFP",3910,281
"272","unstained","SC",0,"vs-URA3",2620,848
"273","unstained","SC",0,"vs-ura3",2520,241
"274","unstained","SC",1,"mCherry-vs-GFP",4010,265
"275","unstained","SC",1,"vs-URA3",2950,939
"276","unstained","SC",1,"vs-ura3",1960,43.2
"277","unstained","SC+5FOA",0,"mCherry-vs-GFP",1590,482
"278","unstained","SC+5FOA",0,"vs-URA3",156,1910
"279","unstained","SC+5FOA",0,"vs-ura3",11300,402
"280","unstained","SC+5FOA",1,"mCherry-vs-GFP",188,602
"281","unstained","SC+5FOA",1,"vs-URA3",82.4,1470
"282","unstained","SC+5FOA",1,"vs-ura3",13200,562
"283","unstained","SC-ura",0,"mCherry-vs-GFP",21.1,121
"284","unstained","SC-ura",0,"vs-URA3",3450,1240
"285","unstained","SC-ura",0,"vs-ura3",20.2,241
"286","unstained","SC-ura",1,"mCherry-vs-GFP",5650,242
"287","unstained","SC-ura",1,"vs-URA3",3180,1160
"288","unstained","SC-ura",1,"vs-ura3",0,85.1
