"","gate","media","estradiol","group_name","postselection","preselection"
"1","GFP","SC",0,"mCherry-vs-GFP",621000,12200
"2","GFP","SC",0,"vs-URA3",2240000,15000
"3","GFP","SC",0,"vs-ura3",726000,14700
"4","GFP","SC",1,"mCherry-vs-GFP",1370000,NA
"5","GFP","SC",1,"vs-URA3",1940000,16900
"6","GFP","SC",1,"vs-ura3",622000,13100
"7","GFP","SC+5FOA",0,"mCherry-vs-GFP",659000,11100
"8","GFP","SC+5FOA",0,"vs-URA3",247,13300
"9","GFP","SC+5FOA",0,"vs-ura3",2840000,13600
"10","GFP","SC+5FOA",1,"mCherry-vs-GFP",69.7,13100
"11","GFP","SC+5FOA",1,"vs-URA3",189,15600
"12","GFP","SC+5FOA",1,"vs-ura3",2380000,14800
"13","GFP","SC-ura",0,"mCherry-vs-GFP",124,11300
"14","GFP","SC-ura",0,"vs-URA3",4060000,13600
"15","GFP","SC-ura",0,"vs-ura3",125,14100
"16","GFP","SC-ura",1,"mCherry-vs-GFP",1360000,11400
"17","GFP","SC-ura",1,"vs-URA3",2360000,14600
"18","GFP","SC-ura",1,"vs-ura3",329,14700
"19","double","SC",0,"mCherry-vs-GFP",4620,40.1
"20","double","SC",0,"vs-URA3",37900,0
"21","double","SC",0,"vs-ura3",8610,20
"22","double","SC",1,"mCherry-vs-GFP",48700,NA
"23","double","SC",1,"vs-URA3",102000,20.7
"24","double","SC",1,"vs-ura3",22600,0
"25","double","SC+5FOA",0,"mCherry-vs-GFP",6150,0
"26","double","SC+5FOA",0,"vs-URA3",0,80.9
"27","double","SC+5FOA",0,"vs-ura3",13800,101
"28","double","SC+5FOA",1,"mCherry-vs-GFP",0,40.4
"29","double","SC+5FOA",1,"vs-URA3",0,20.3
"30","double","SC+5FOA",1,"vs-ura3",0,40.1
"31","double","SC-ura",0,"mCherry-vs-GFP",0,40.4
"32","double","SC-ura",0,"vs-URA3",233,20
"33","double","SC-ura",0,"vs-ura3",0,20.1
"34","double","SC-ura",1,"mCherry-vs-GFP",40300,62
"35","double","SC-ura",1,"vs-URA3",62500,0
"36","double","SC-ura",1,"vs-ura3",164,80.3
"37","mCherry","SC",0,"mCherry-vs-GFP",731000,15800
"38","mCherry","SC",0,"vs-URA3",1360000,17300
"39","mCherry","SC",0,"vs-ura3",1030000,14800
"40","mCherry","SC",1,"mCherry-vs-GFP",1650000,NA
"41","mCherry","SC",1,"vs-URA3",2770000,21200
"42","mCherry","SC",1,"vs-ura3",1970000,15500
"43","mCherry","SC+5FOA",0,"mCherry-vs-GFP",860000,13900
"44","mCherry","SC+5FOA",0,"vs-URA3",1560000,17700
"45","mCherry","SC+5FOA",0,"vs-ura3",521000,14300
"46","mCherry","SC+5FOA",1,"mCherry-vs-GFP",232,18200
"47","mCherry","SC+5FOA",1,"vs-URA3",441,18900
"48","mCherry","SC+5FOA",1,"vs-ura3",764,16000
"49","mCherry","SC-ura",0,"mCherry-vs-GFP",173,15200
"50","mCherry","SC-ura",0,"vs-URA3",1170,17500
"51","mCherry","SC-ura",0,"vs-ura3",166,14900
"52","mCherry","SC-ura",1,"mCherry-vs-GFP",1570000,15800
"53","mCherry","SC-ura",1,"vs-URA3",1920000,18700
"54","mCherry","SC-ura",1,"vs-ura3",2960000,16300
"55","unstained","SC",0,"mCherry-vs-GFP",4050,441
"56","unstained","SC",0,"vs-URA3",7030,1060
"57","unstained","SC",0,"vs-ura3",5050,2100
"58","unstained","SC",1,"mCherry-vs-GFP",6340,NA
"59","unstained","SC",1,"vs-URA3",9890,830
"60","unstained","SC",1,"vs-ura3",3160,1910
"61","unstained","SC+5FOA",0,"mCherry-vs-GFP",799,481
"62","unstained","SC+5FOA",0,"vs-URA3",165,1270
"63","unstained","SC+5FOA",0,"vs-ura3",15500,2640
"64","unstained","SC+5FOA",1,"mCherry-vs-GFP",46.5,829
"65","unstained","SC+5FOA",1,"vs-URA3",147,1580
"66","unstained","SC+5FOA",1,"vs-ura3",11200,2630
"67","unstained","SC-ura",0,"mCherry-vs-GFP",24.8,445
"68","unstained","SC-ura",0,"vs-URA3",10700,1160
"69","unstained","SC-ura",0,"vs-ura3",20.8,1850
"70","unstained","SC-ura",1,"mCherry-vs-GFP",4930,599
"71","unstained","SC-ura",1,"vs-URA3",10900,873
"72","unstained","SC-ura",1,"vs-ura3",0,2290
